feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
SMB53	WaterCHG	Full	6.28631897454476	0.986629484567686	27	23	2.06589311395463e-06	5.37132209628203e-05
Turicibacter	WaterCHG	Full	7.76277852961104	1.32899883225271	27	23	7.06874961489904e-06	9.18937449936875e-05
SMB53	WaterCHG	CHG	3.99123564438373	0.986629484567686	27	23	0.000540039796317516	0.00351025867606385
Streptomyces	WaterCHG	Full	2.53809786183419	0.624055146256149	27	7	0.000512093694071784	0.00351025867606385
Macrococcus	WaterCHG	Full	-0.618046490854591	0.167580131130421	27	12	0.00128668446493705	0.00669075921767265
Turicibacter	WaterCHG	CHG	4.64157657458288	1.32899883225271	27	23	0.00206066228888617	0.00892953658517339
Pseudomonas	WaterCHG	Full	3.1573271918922	0.933137554110152	27	12	0.00267414955946697	0.00993255550659162
Macrococcus	WaterCHG	CHG	-0.552921156730101	0.167580131130421	27	12	0.00326638368919942	0.0106157469898981
Acinetobacter	WaterCHG	Full	6.29181085584566	1.99907816929741	27	18	0.00467655131944303	0.0121590334305519
Janthinobacterium	WaterCHG	Full	3.81533254361883	1.19561513241442	27	8	0.00421956113481628	0.0121590334305519
Rothia	WaterCHG	Full	2.37844661983961	0.824798898144984	27	19	0.00862235476174282	0.0203801112550285
Acinetobacter	WaterCHG	CHG	5.47895243414232	1.99907816929741	27	18	0.0119332397786675	0.0238664795573349
Clostridium	WaterCHG	Full	2.82652751615799	1.02701495827252	27	7	0.0116291530332631	0.0238664795573349
Pseudomonas	WaterCHG	CHG	2.30354152133761	0.933137554110152	27	12	0.0218093687943399	0.0405031134752026
Janthinobacterium	WaterCHG	CHG	2.61909246682493	1.19561513241442	27	8	0.0393682067902358	0.0682382251030754
Bacillus	WaterCHG	CHG	2.61381838377863	1.2393626634705	27	13	0.0465561116441095	0.075653681421678
Staphylococcus	WaterCHG	Full	-1.89829830896718	0.924971759969161	27	25	0.0522288574948619	0.0798794291097888
Aerococcus	WaterCHG	Full	-1.03591162926504	0.635752531018677	27	11	0.11745914474861	0.169663209081326
Corynebacterium	WaterCHG	Full	-1.21228091873381	0.770724087438944	27	18	0.130011498834391	0.177910472089167
