feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Corynebacterium	Time	Time	1.50132152502464	0.235083666707304	52	45	6.38793916797239e-08	7.66552700156687e-07
SMB53	Time	Time	-2.550923841903	0.459782558549113	52	27	1.19694667882579e-06	7.18168007295474e-06
Turicibacter	Time	Time	-2.6083885790785	0.508105138828751	52	21	5.07748706791968e-06	2.03099482716787e-05
Proteus	Time	Time	0.987195483102131	0.273736067057359	52	12	0.000737223408231556	0.00221167022469467
Macrococcus	Time	Time	-0.543061792406512	0.169326999169514	52	30	0.00238763442239941	0.00573032261375858
Staphylococcus	Time	Time	0.574769851414568	0.209836495686886	52	50	0.00861636138875961	0.0172327227775192
Rummeliibacillus	Time	Time	0.554021147093493	0.231339265401628	52	15	0.0205778384077143	0.0352762944132244
Bacillus	Time	Time	0.478385317229191	0.20796536236117	52	15	0.0258178361345497	0.0387267542018246
Aerococcus	Time	Time	-0.541257735069566	0.27777256627832	52	24	0.0572056591606818	0.0762742122142424
