CompoundID,P3_ChloraPrep_EndPoint.1,P3_ChloraPrep_EndPoint.2,P3_ChloraPrep_EndPoint.3,P3_ChloraPrep_Baseline.1,P3_ChloraPrep_Baseline.2,P3_ChloraPrep_Baseline.3,P3_ChloraPrep_PostIntervention.1,P3_ChloraPrep_PostIntervention.2,P3_ChloraPrep_PostIntervention.3,P3_FullSurgicalPrep_EndPoint.1,P3_FullSurgicalPrep_EndPoint.2,P3_FullSurgicalPrep_EndPoint.3,P3_FullSurgicalPrep_Baseline.1,P3_FullSurgicalPrep_Baseline.2,P3_FullSurgicalPrep_Baseline.3,P3_FullSurgicalPrep_PostIntervention.1,P3_FullSurgicalPrep_PostIntervention.2,P3_FullSurgicalPrep_PostIntervention.3,P3_Water_EndPoint.1,P3_Water_EndPoint.2,P3_Water_EndPoint.3,P3_Water_Baseline.1,P3_Water_Baseline.2,P3_Water_Baseline.3,P3_Water_PostIntervention.1,P3_Water_PostIntervention.2,P3_Water_PostIntervention.3
Cer.38:1;O2|Cer.16:1;O2/22:0__Pp,3.83E-05,3.65E-05,6.85E-05,5.63E-05,0.000140776,9.34E-05,3.95E-05,6.09E-05,5.60E-05,6.33E-05,5.24E-05,0.000103603,4.39E-05,6.61E-05,5.99E-05,5.71E-05,3.29E-05,5.84E-05,2.05E-05,0.000119608,8.64E-05,6.84E-05,7.24E-05,3.50E-05,9.56E-05,3.53E-05,4.83E-05
Cer.39:1;O2|Cer.12:0;O2/27:1__Pp,0,0,0,0,0,2.53E-05,0,0,0,0,0,0,0,0,0,1.01E-05,1.50E-05,0,0,0,0,0,0,0,0,0,0
Cer.39:1;O2|Cer.17:1;O2/22:0__Pp,2.76E-05,2.63E-05,3.83E-05,3.62E-05,7.54E-05,5.27E-05,2.52E-05,1.49E-05,1.12E-05,3.02E-05,3.02E-05,4.47E-05,2.45E-05,4.22E-05,4.03E-05,2.64E-05,2.85E-05,2.77E-05,1.03E-05,8.91E-05,5.13E-05,4.35E-05,1.70E-05,0,5.15E-05,0,2.39E-05
Cer.40:0;O2|Cer.16:0;O2/24:0__Pp,5.41E-05,5.16E-05,9.09E-05,7.68E-05,0.000155804,0.000124486,5.99E-05,7.66E-05,6.94E-05,7.21E-05,7.07E-05,0.000111187,6.05E-05,9.79E-05,6.96E-05,6.88E-05,6.46E-05,7.60E-05,2.67E-05,0.000151398,9.88E-05,0.000101564,0.000114104,4.31E-05,9.74E-05,2.14E-05,6.13E-05
Cer.40:0;O4|Cer.16:0;O3/24:0(2OH)__Pp,0,0,0,0,2.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13E-05,0,0,0,0,0,0,0
Cer.40:1;O2|Cer.18:1;O2/22:0__Pp,4.85E-05,4.62E-05,7.35E-05,6.75E-05,0.000150364,0.000111111,4.79E-05,6.52E-05,5.49E-05,6.75E-05,5.80E-05,0.000120725,5.15E-05,8.62E-05,6.95E-05,5.97E-05,5.08E-05,6.56E-05,9.69E-06,0.000152666,0.000106657,8.93E-05,8.94E-05,4.02E-05,0.000106576,0,5.82E-05
Cer.40:1;O2|Cer.25:0;O2/15:1__Pp,0,0,0,1.65E-05,3.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48E-05,0,0,0,0,0,0,0
Cer.40:1;O3|Cer.16:1;O2/24:0;O__Pp,0,0,0,9.54E-06,2.90E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39E-05,0,0,0,0,0,0,0
Cer.41:0;O2|Cer.17:0;O2/24:0__Pp,4.95E-05,4.71E-05,7.19E-05,6.43E-05,0.000128567,9.08E-05,4.81E-05,5.56E-05,5.55E-05,7.14E-05,2.85E-05,9.18E-05,4.30E-05,7.38E-05,7.26E-05,4.94E-05,5.47E-05,3.84E-05,1.55E-05,0.000132378,9.35E-05,8.22E-05,9.13E-05,3.92E-05,9.30E-05,3.85E-05,2.45E-05
Cer.41:1;O2|Cer.17:1;O2/24:0__Pp,2.39E-05,2.28E-05,4.87E-05,4.02E-05,7.99E-05,6.26E-05,3.06E-05,3.62E-05,3.07E-05,3.77E-05,3.35E-05,6.73E-05,3.21E-05,4.93E-05,4.35E-05,2.76E-05,3.18E-05,0,1.58E-05,8.34E-05,5.11E-05,4.75E-05,5.46E-05,0,5.10E-05,0,2.68E-05
