Pig,DNA extraction Batch,Sample,DNAconc (ng/µl) ,PmaxxGroup,Group,TimeGroup,WaterCHG,Timepoint,Time,PMAxx
P3,,3-F24-3,4.22,Full,Full-24,F-24,Full,24 hr,24,Untreated
P3,,3-F48-1,3.93,Full,Full-48,F-48,Full,48 hr,48,Untreated
P3,,3-F48-2,4.21,Full,Full-48,F-48,Full,48 hr,48,Untreated
P3,,3-F48-3,4.15,Full,Full-48,F-48,Full,48 hr,48,Untreated
P3,,3-FB-1,3.1,Full,Full-B,F-B,Full,Baseline,-12,Untreated
P3,,3-FB-2,2.65,Full,Full-B,F-B,Full,Baseline,-12,Untreated
P3,,3-W0-1,3.13,Water,Water-0,W-0,Water,0 hr,0,Untreated
P3,,3-W0-2,2.82,Water,Water-0,W-0,Water,0 hr,0,Untreated
P3,,3-W0-3,3.22,Water,Water-0,W-0,Water,0 hr,0,Untreated
P3,,3-W06-1,3.29,Water,Water-06,W-06,Water,6 hr,6,Untreated
P3,,3-W06-2,3.47,Water,Water-06,W-06,Water,6 hr,6,Untreated
P3,,3-W06-3,3.69,Water,Water-06,W-06,Water,6 hr,6,Untreated
P3,,3-W12-1,4.06,Water,Water-12,W-12,Water,12 hr,12,Untreated
P3,,3-W12-2,3.87,Water,Water-12,W-12,Water,12 hr,12,Untreated
P3,,3-W12-3,4.15,Water,Water-12,W-12,Water,12 hr,12,Untreated
P3,,3-W24-1,4.45,Water,Water-24,W-24,Water,24 hr,24,Untreated
P3,,3-W24-2,4.32,Water,Water-24,W-24,Water,24 hr,24,Untreated
P3,,3-W24-3,4.58,Water,Water-24,W-24,Water,24 hr,24,Untreated
P3,,3-W48-1,4.61,Water,Water-48,W-48,Water,48 hr,48,Untreated
P3,,3-W48-2,4.73,Water,Water-48,W-48,Water,48 hr,48,Untreated
P3,,3-W48-3,4.29,Water,Water-48,W-48,Water,48 hr,48,Untreated
P3,,3-WB-1,3.03,Water,Water-B,W-B,Water,Baseline,-12,Untreated
P3,,3-WB-2,2.91,Water,Water-B,W-B,Water,Baseline,-12,Untreated
