Pig,DNA extraction Batch,Sample,DNAconc (ng/µl) ,PmaxxGroup,Group,TimeGroup,WaterCHG,Timepoint,Time,PMAxx
P2,,2-C12p-3,4.3,CHGp,CHG-12-PMAxx,C-12,CHG,12 hr,12,PMAxx
P2,,2-C24p-1,4.37,CHGp,CHG-24-PMAxx,C-24,CHG,24 hr,24,PMAxx
P2,,2-C24p-2,4.86,CHGp,CHG-24-PMAxx,C-24,CHG,24 hr,24,PMAxx
P2,,2-C24p-3,3.78,CHGp,CHG-24-PMAxx,C-24,CHG,24 hr,24,PMAxx
P2,,2-C48p-1,3.86,CHGp,CHG-48-PMAxx,C-48,CHG,48 hr,48,PMAxx
P2,,2-C48p-2,4.27,CHGp,CHG-48-PMAxx,C-48,CHG,48 hr,48,PMAxx
P2,,2-C48p-3,4.18,CHGp,CHG-48-PMAxx,C-48,CHG,48 hr,48,PMAxx
P2,,2-CBp-1,3.72,CHGp,CHG-B-PMAxx,C-B,CHG,Baseline,-12,PMAxx
P2,,2-CBp-2,2.99,CHGp,CHG-B-PMAxx,C-B,CHG,Baseline,-12,PMAxx
P2,,2-F06p-1,2.4,Fullp,Full-06-PMAxx,F-06,Full,6 hr,6,PMAxx
P2,,2-F06p-2,2.63,Fullp,Full-06-PMAxx,F-06,Full,6 hr,6,PMAxx
P2,,2-F06p-3,2.68,Fullp,Full-06-PMAxx,F-06,Full,6 hr,6,PMAxx
P2,,2-F0p-1,2.14,Fullp,Full-0-PMAxx,F-0,Full,0 hr,0,PMAxx
P2,,2-F0p-2,2.7,Fullp,Full-0-PMAxx,F-0,Full,0 hr,0,PMAxx
P2,,2-F0p-3,2.03,Fullp,Full-0-PMAxx,F-0,Full,0 hr,0,PMAxx
P2,,2-F12p-1,4.24,Fullp,Full-12-PMAxx,F-12,Full,12 hr,12,PMAxx
P2,,2-F12p-2,3.64,Fullp,Full-12-PMAxx,F-12,Full,12 hr,12,PMAxx
P2,,2-F12p-3,2.98,Fullp,Full-12-PMAxx,F-12,Full,12 hr,12,PMAxx
P2,,2-F24p-1,3.37,Fullp,Full-24-PMAxx,F-24,Full,24 hr,24,PMAxx
P2,,2-F24p-2,3.12,Fullp,Full-24-PMAxx,F-24,Full,24 hr,24,PMAxx
P2,,2-F24p-3,3.57,Fullp,Full-24-PMAxx,F-24,Full,24 hr,24,PMAxx
P2,,2-F48p-1,4.12,Fullp,Full-48-PMAxx,F-48,Full,48 hr,48,PMAxx
P2,,2-F48p-2,4.08,Fullp,Full-48-PMAxx,F-48,Full,48 hr,48,PMAxx
P2,,2-F48p-3,3.82,Fullp,Full-48-PMAxx,F-48,Full,48 hr,48,PMAxx
P2,,2-FBp-1,2.47,Fullp,Full-B-PMAxx,F-B,Full,Baseline,-12,PMAxx
P2,,2-FBp-2,2.65,Fullp,Full-B-PMAxx,F-B,Full,Baseline,-12,PMAxx
P2,,2-W06p-1,3.73,Waterp,Water-06-PMAxx,W-06,Water,6 hr,6,PMAxx
P2,,2-W06p-2,4.24,Waterp,Water-06-PMAxx,W-06,Water,6 hr,6,PMAxx
P2,,2-W06p-3,3.39,Waterp,Water-06-PMAxx,W-06,Water,6 hr,6,PMAxx
P2,,2-W0p-1,3.72,Waterp,Water-0-PMAxx,W-0,Water,0 hr,0,PMAxx
P2,,2-W0p-2,3.04,Waterp,Water-0-PMAxx,W-0,Water,0 hr,0,PMAxx
P2,,2-W0p-3,3.8,Waterp,Water-0-PMAxx,W-0,Water,0 hr,0,PMAxx
P2,,2-W12p-1,4.58,Waterp,Water-12-PMAxx,W-12,Water,12 hr,12,PMAxx
P2,,2-W12p-2,4.42,Waterp,Water-12-PMAxx,W-12,Water,12 hr,12,PMAxx
P2,,2-W12p-3,4.28,Waterp,Water-12-PMAxx,W-12,Water,12 hr,12,PMAxx
P2,,2-W24p-1,4.48,Waterp,Water-24-PMAxx,W-24,Water,24 hr,24,PMAxx
