uWellPosition,uSample,Plate,Replicate,Pig,PMAxxConcentration,LHKC,LHKCorder,uCT,uCTMean,uCtSD,uQuantity,uQuantityMean,uQuantitySD,pWellPosition,pSample,pCT,pCTMean,pCtSD,pQuantity,pQuantityMean,pQuantitySD,DeltaCT,TotalBacteria,MeanTotalBacteria,ViableBacteria,MeanBiableBacteria,PercentLive,MeanPercentLive,DeltaBacteria
G11,P2-L-05,2,1,P2,5,Live,0,18.503,18.723,0.299,593.216,485.259,125.425,G18,P2-L-05p,19.798,20.189,0.44,181.167,126.609,49.784,1.467,3559295.946,2911552.469,1087002.323,759656.1849,30.53981291,26.09110408,2472293.623
G12,P2-L-05,2,2,P2,5,Live,0,18.601,18.723,0.299,542.463,485.259,125.425,G19,P2-L-05p,20.104,20.189,0.44,136.953,126.609,49.784,1.467,3254777.23,2911552.469,821717.3561,759656.1849,25.2465007,26.09110408,2433059.873
G13,P2-L-05,2,3,P2,5,Live,0,19.064,18.723,0.299,355.089,485.259,125.425,G20,P2-L-05p,20.666,20.189,0.44,81.799,126.609,49.784,1.467,2130534.121,2911552.469,490792.9345,759656.1849,23.03614524,26.09110408,1639741.186
H8,P2-H-25,2,1,P2,25,Heated,1,17.416,17.598,0.18,"1,606.68","1,359.81",225.933,H15,P2-H-25p,19.686,19.731,0.154,200.755,192.633,26.488,2.133,9640047.417,8158874.916,1204528.211,1155797.503,12.49504446,14.16613829,8435519.206
H9,P2-H-25,2,2,P2,25,Heated,1,17.603,17.598,0.18,"1,353.89","1,359.81",225.933,H16,P2-H-25p,19.903,19.731,0.154,164.642,192.633,26.488,2.133,8123341.076,8158874.916,987849.3486,1155797.503,12.16062873,14.16613829,7135491.727
H10,P2-H-25,2,3,P2,25,Heated,1,17.775,17.598,0.18,"1,155.92","1,359.81",225.933,H17,P2-H-25p,19.605,19.731,0.154,216.265,192.633,26.488,2.133,6935511.309,8158874.916,1297590.216,1155797.503,18.70936631,14.16613829,5637921.092
H11,P2-H-05,2,1,P2,5,Heated,1,17.743,17.676,0.096,"1,190.19","1,266.41",111.247,H18,P2-H-05p,19.019,19.469,0.423,369.853,244.855,101.707,1.794,7141132.258,7598461.85,2219120.516,1469132.122,31.07519138,19.33459891,4922011.742
H13,P2-H-05,2,2,P2,5,Heated,1,17.608,17.676,0.096,"1,347.52","1,266.41",111.247,H19,P2-H-05p,19.532,19.469,0.423,231.307,244.855,101.707,1.794,8085093.691,7598461.85,1387844.558,1469132.122,17.1654728,19.33459891,6697249.133
,,2,3,P2,5,Heated,1,,,,,,,H20,P2-H-05p,19.857,19.469,0.423,171.597,244.855,101.707,,,,1029579.981,1469132.122,,,
I8,P2-K-25,2,1,P2,25,HeatKilled,2,17.341,17.567,0.206,"1,720.27","1,398.38",274.23,I15,P2-K-25p,21.95,21.809,0.213,25.23,28.725,14.842,4.241,10321631.82,8390262.271,151377.9967,172347.5973,1.46660915,2.054138378,10170253.82
I9,P2-K-25,2,2,P2,25,HeatKilled,2,17.745,17.567,0.206,"1,188.87","1,398.38",274.23,I16,P2-K-25p,21.912,21.809,0.213,26.139,28.725,14.842,4.241,7133213.323,8390262.271,156832.7966,172347.5973,2.198627597,2.054138378,6976380.526
I10,P2-K-25,2,3,P2,25,HeatKilled,2,17.616,17.567,0.206,"1,337.03","1,398.38",274.23,I17,P2-K-25p,21.564,21.809,0.213,35.939,28.725,14.842,4.241,8022205.693,8390262.271,215633.0376,172347.5973,2.68795199,2.054138378,7806572.655
I11,P2-K-05,2,1,P2,5,HeatKilled,2,17.203,17.143,0.084,"1,953.31","2,063.10",159.635,I18,P2-K-05p,19.7,19.959,0.225,198.269,156.337,34.325,2.816,11719834.21,12378604.75,1189615.008,938023.732,10.15044229,7.577782399,10530219.2
I12,P2-K-05,2,2,P2,5,HeatKilled,2,17.083,17.143,0.084,"2,179.06","2,063.10",159.635,I19,P2-K-05p,20.084,19.959,0.225,139.428,156.337,34.325,2.816,13074381.86,12378604.75,836569.6513,938023.732,6.39854075,7.577782399,12237812.21
,,2,3,P2,5,HeatKilled,2,,,,,,,I20,P2-K-05p,20.094,19.959,0.225,138.223,156.337,34.325,,,,829339.1738,938023.732,,,
J8,P2-C-25,2,1,P2,25,CHG,3,18.438,18.696,0.23,630.009,497.183,110.461,J15,P2-C-25p,21.24,21.269,0.042,48.368,47.077,4.504,2.573,3780052.657,2983095.857,290208.4443,282460.0975,7.677365122,9.468689946,3489844.213
J9,P2-C-25,2,2,P2,25,CHG,3,18.774,18.696,0.23,463.162,497.183,110.461,J17,P2-C-25p,21.299,21.269,0.042,45.82,47.077,4.504,2.573,2778971.135,2983095.857,274919.106,282460.0975,9.892837767,9.468689946,2504052.029
J10,P2-C-25,2,3,P2,25,CHG,3,18.877,18.696,0.23,421.181,497.183,110.461,,,,,,,,,,2527084.366,2983095.857,,,,,
J11,P2-C-05,2,1,P2,5,CHG,3,15.523,15.698,0.247,"9,100.26","7,754.04","1,763.02",J18,P2-C-05p,18.694,18.922,0.281,497.984,404.271,99.676,3.224,54601542.31,46524257.73,2987905.522,2425623.464,5.47219986,5.213674721,51613636.79
J12,P2-C-05,2,2,P2,5,CHG,3,15.872,15.698,0.247,"6,606.97","7,754.04","1,763.02",J19,P2-C-05p,18.836,18.922,0.281,437.531,404.271,99.676,3.224,39641822.82,46524257.73,2625186.812,2425623.464,6.622265642,5.213674721,37016636
,,2,3,P2,5,CHG,3,,,,,,,J20,P2-C-05p,19.236,18.922,0.281,303.243,404.271,99.676,,,,1819456.023,2425623.464,,,
L8,P3-L-10,2,1,P3,10,Live,0,22.711,22.832,0.105,12.566,11.248,1.112,L15,P3-L-10p,24.631,24.598,0.100,2.164,2.231,0.173,1.766,75396.45532,67488.02277,12982.95508,13386.12054,17.2195828,19.8348092,62413.500240
L9,P3-L-10,2,2,P3,10,Live,0,22.897,22.832,0.105,10.603,11.248,1.112,L16,P3-L-10p,24.592,24.598,0.100,2.242,2.231,0.173,1.766,63616.23895,67488.02277,13453.19739,13386.12054,21.1474265,19.8348092,50163.041559
L10,P3-L-10,2,3,P3,10,Live,0,22.888,22.832,0.105,10.681,11.248,1.112,L17,P3-L-10p,24.570,24.598,0.100,2.289,2.231,0.173,1.766,64085.93328,67488.02277,13732.99067,13386.12054,21.4290250,19.8348092,50352.942601
L11,P3-L-05,2,1,P3,5,Live,0,22.198,22.284,0.085,20.097,18.591,1.451,L18,P3-L-05p,23.97,23.818,0.143,3.967,4.558,0.236,1.535,120581.248,111545.3241,23800.07799,27348.41095,19.73779371,24.5177565,96781.17004
L12,P3-L-05,2,2,P3,5,Live,0,22.369,22.284,0.085,17.195,18.591,1.451,L19,P3-L-05p,23.798,23.818,0.143,4.644,4.558,0.236,1.535,103167.7705,111545.3241,27866.86591,27348.41095,27.01121269,24.5177565,75300.90459
L13,P3-L-05,2,3,P3,5,Live,0,22.283,22.284,0.085,18.594,18.591,1.451,L20,P3-L-05p,23.687,23.818,0.143,5.14,4.558,0.236,1.535,111565.5958,111545.3241,30841.0946,27348.41095,27.64391151,24.5177565,80724.50125
M8,P3-H-10,2,1,P3,10,Heated,1,22.689,22.621,0.104,12.827,13.65,1.332,M15,P3-H-10p,25.255,25.151,0.09,1.222,1.344,0.108,2.53,76960.40042,81901.80372,7334.431324,8065.799753,9.530136647,9.848134457,69625.9691
M9,P3-H-10,2,2,P3,10,Heated,1,22.672,22.621,0.104,13.024,13.65,1.332,M16,P3-H-10p,25.102,25.151,0.09,1.406,1.344,0.108,2.53,78144.02935,81901.80372,8434.500448,8065.799753,10.79353153,9.848134457,69709.5289
M10,P3-H-10,2,3,P3,10,Heated,1,22.502,22.621,0.104,15.225,13.65,1.332,M17,P3-H-10p,25.096,25.151,0.09,1.414,1.344,0.108,2.53,91351.8358,81901.80372,8482.385633,8065.799753,9.285402486,9.848134457,82869.45017
M11,P3-H-05,2,1,P3,5,Heated,1,22.124,22.018,0.098,21.521,23.714,2.106,M18,P3-H-05p,25.132,25.009,0.112,1.368,1.531,0.154,2.991,129127.7371,142285.6349,8205.189916,9186.450823,6.354320227,6.456344543,120922.5472
M12,P3-H-05,2,2,P3,5,Heated,1,21.93,22.018,0.098,25.69,23.714,2.106,M19,P3-H-05p,24.914,25.009,0.112,1.671,1.531,0.154,2.991,154141.0394,142285.6349,10023.02421,9186.450823,6.502502025,6.456344543,144118.0152
M13,P3-H-05,2,3,P3,5,Heated,1,21.999,22.018,0.098,24.121,23.714,2.106,M20,P3-H-05p,24.981,25.009,0.112,1.571,1.531,0.154,2.991,144726.1011,142285.6349,9426.567249,9186.450823,6.51338437,6.456344543,135299.5339
,,2,1,P3,10,HeatKilled,2,,,,,,,N15,P3-K-10p,25.696,25.374,0.279,0.816,1.096,0.263,,,,4896.141337,6574.101357,,,
N8,P3-K-10,2,2,P3,10,HeatKilled,2,22.069,22.19,0.171,22.62,20.252,3.172,N16,P3-K-10p,25.233,25.374,0.279,1.247,1.096,0.263,3.184,135717.2798,121514.4105,7480.841684,6574.101357,5.512077529,5.410141342,128236.4381
N10,P3-K-10,2,3,P3,10,HeatKilled,2,22.311,22.19,0.171,18.133,20.252,3.172,N17,P3-K-10p,25.194,25.374,0.279,1.293,1.096,0.263,3.184,108797.8772,121514.4105,7757.196213,6574.101357,7.12991504,5.410141342,101040.681
N11,P3-K-05,2,1,P3,5,HeatKilled,2,22.497,22.556,0.064,15.293,14.484,0.843,N18,P3-K-05p,25.734,25.686,0.105,0.788,0.823,0.081,3.13,91756.72573,86901.6586,4727.930034,4940.545249,5.15267954,5.685213986,87028.7957
N12,P3-K-05,2,2,P3,5,HeatKilled,2,22.624,22.556,0.064,13.614,14.484,0.843,N19,P3-K-05p,25.566,25.686,0.105,0.919,0.823,0.081,3.13,81682.28634,86901.6586,5515.163415,4940.545249,6.751969934,5.685213986,76167.12293
N13,P3-K-05,2,3,P3,5,HeatKilled,2,22.548,22.556,0.064,14.594,14.484,0.843,N20,P3-K-05p,25.758,25.686,0.105,0.771,0.823,0.081,3.13,87562.8565,86901.6586,4624.832159,4940.545249,5.281728285,5.685213986,82938.02434
O8,P3-C-10,2,1,P3,10,CHG,3,22.84,22.776,0.111,11.165,11.842,1.245,O15,P3-C-10p,25.305,25.31,0.012,1.167,1.162,0.033,2.534,66992.80879,71049.48494,7004.278063,6970.105968,10.45526854,9.810213225,59988.53073
O9,P3-C-10,2,2,P3,10,CHG,3,22.84,22.776,0.111,11.164,11.842,1.245,O16,P3-C-10p,25.324,25.31,0.012,1.147,1.162,0.033,2.534,66984.49831,71049.48494,6881.067586,6970.105968,10.27262689,9.810213225,60103.43072
O10,P3-C-10,2,3,P3,10,CHG,3,22.647,22.776,0.111,13.321,11.842,1.245,O17,P3-C-10p,25.302,25.31,0.012,1.171,1.162,0.033,2.534,79924.84888,71049.48494,7025.875632,6970.105968,8.790602335,9.810213225,72898.97325
O11,P3-C-05,2,1,P3,5,CHG,3,22.488,22.891,0.356,15.421,10.655,3.822,O18,P3-C-05P,23.778,23.778,0.082,4.728,4.728,0.379,0.887,92527.42647,63927.23445,28366.7344,28366.7344,30.65764983,30.65764983,64160.69207
O12,P3-C-05,2,2,P3,5,CHG,3,23.024,22.891,0.356,9.436,10.655,3.822,O19,P3-C-05P,23.651,23.685,0.082,5.312,5.15,0.379,0.794,56613.28303,63927.23445,31870.0766,30899.40319,56.29434454,30.65764983,24743.20642
O13,P3-C-05,2,3,P3,5,CHG,3,23.162,22.891,0.356,8.312,10.655,3.822,O20,P3-C-05P,23.625,23.685,0.082,5.439,5.15,0.379,0.794,49873.30722,63927.23445,32633.00484,30899.40319,65.43180442,30.65764983,17240.30238
