uWellPosition,uSample,Plate,Replicate,Pig,PMAxxConcentration,LHKC,LHKCorder,uCT,uCTMean,uCtSD,uQuantity,uQuantityMean,uQuantitySD,pWellPosition,pSample,pCT,pCTMean,pCtSD,pQuantity,pQuantityMean,pQuantitySD,DeltaCT,TotalBacteria,MeanTotalBacteria,ViableBacteria,MeanBiableBacteria,PercentLive,MeanPercentLive,DeltaBacteria
G9,P1-L-25,1,2,P1,25,Live,0,17.403,17.296,0.397,"1,625.97","1,792.84",870.299,G16,P1-L-25p,19.509,19.252,0.415,236.233,298.702,157.266,1.956,9755815.461,10757056.57,1417400.096,1792210.282,14.52877109,16.660787,8338415.365
G10,P1-L-25,1,3,P1,25,Live,0,17.629,17.296,0.397,"1,321.37","1,792.84",870.299,G17,P1-L-25p,18.773,19.252,0.415,463.355,298.702,157.266,1.956,7928200.909,10757056.57,2780131.887,1792210.282,35.06636524,16.660787,5148069.021
G11,P1-L-05,1,1,P1,5,Live,0,17.981,18.053,0.126,957.111,896.018,122.307,G18,P1-L-05p,18.682,18.699,0.099,503.773,496.055,54.551,0.645,5742668.063,5376110.642,3022635.927,2976327.483,52.63469686,55.36209504,2720032.136
G12,P1-L-05,1,2,P1,5,Live,0,17.98,18.053,0.126,958.646,896.018,122.307,G19,P1-L-05p,18.609,18.699,0.099,538.676,496.055,54.551,0.645,5751876.755,5376110.642,3232057.456,2976327.483,56.19135447,55.36209504,2519819.299
G13,P1-L-05,1,3,P1,5,Live,0,18.199,18.053,0.126,784.023,896.018,122.307,G20,P1-L-05p,18.806,18.699,0.099,449.805,496.055,54.551,0.645,4704135.152,5376110.642,2698831.147,2976327.483,57.37146276,55.36209504,2005304.005
H8,P1-H-25,1,1,P1,25,Heated,1,17.866,18.205,0.294,"1,063.30",779.753,278.543,H15,P1-H-25p,22.344,22.15,0.196,17.587,21.006,4.646,3.945,6379771.018,4678519.138,105520.5139,126033.738,1.653985913,2.693880998,6274250.504
H9,P1-H-25,1,2,P1,25,Heated,1,18.355,18.205,0.294,679.324,779.753,278.543,H16,P1-H-25p,22.155,22.15,0.196,20.915,21.006,4.646,3.945,4075944.019,4678519.138,125488.5586,126033.738,3.078760602,2.693880998,3950455.461
H10,P1-H-25,1,3,P1,25,Heated,1,18.393,18.205,0.294,656.36,779.753,278.543,H17,P1-H-25p,21.952,22.15,0.196,25.198,21.006,4.646,3.945,3938160.817,4678519.138,151188.7314,126033.738,3.839069516,2.693880998,3786972.085
H11,P1-H-05,1,1,P1,5,Heated,1,18.481,18.464,0.324,605.797,615.195,229.064,H18,P1-H-05p,20.677,20.905,0.198,81.018,65.732,15.343,2.441,3634783.498,3691169.114,486110.8295,394393.7465,13.37385926,10.68479212,3148672.669
H12,P1-H-05,1,2,P1,5,Heated,1,18.779,18.464,0.324,460.918,615.195,229.064,H19,P1-H-05p,21.026,20.905,0.198,58.838,65.732,15.343,2.441,2765509.882,3691169.114,353027.7393,394393.7465,12.76537616,10.68479212,2412482.143
H13,P1-H-05,1,3,P1,5,Heated,1,18.132,18.464,0.324,833.848,615.195,229.064,H20,P1-H-05p,21.012,20.905,0.198,59.579,65.732,15.343,2.441,5003087.141,3691169.114,357475.8367,394393.7465,7.145105144,10.68479212,4645611.305
I8,P1-K-25,1,1,P1,25,HeatKilled,2,17.62,17.701,0.102,"1,332.36","1,237.63",137.987,I15,P1-K-25p,22.958,22.996,0.117,10.025,9.678,1.241,5.295,7994136.449,7425797.887,60151.27484,58069.9083,0.752442434,0.782002274,7933985.174
I9,P1-K-25,1,2,P1,25,HeatKilled,2,17.815,17.701,0.102,"1,114.42","1,237.63",137.987,I16,P1-K-25p,22.903,22.996,0.117,10.543,9.678,1.241,5.295,6686501.748,7425797.887,63258.65683,58069.9083,0.946065061,0.782002274,6623243.091
