CompoundName,CleanName,CompoundID,LipidABV,Formula,Mass,RT,LargerLipidGroup.ABV,LargerLipidGroup,LIPIDClass_CommonName,LipidClass_LIPID_MAPS,LIPID_MAPS
Cer_AS d42:2,Cer AS d42:2,Cer_AS.d42:2__Np,Cer_AS,C42 H81 N O4,663.6162,10.58,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d42:2,Cer AS d42:2,Cer_AS.d42:2__Np,Cer_AS,C42 H81 N O4,663.6162,10.56,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d42:2,Cer AS d42:2,Cer_AS.d42:2__Np,Cer_AS,C42 H81 N O4,663.6163,9.59,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d42:2_1,Cer AS d42:2,Cer_AS.d42:2_1__Np,Cer_AS,C42 H81 N O4,663.6163,9.59,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d43:1,Cer AS d43:1,Cer_AS.d43:1__Np,Cer_AS,C43 H85 N O4,679.6478,10.91,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d43:1,Cer AS d43:1,Cer_AS.d43:1__Np,Cer_AS,C43 H85 N O4,679.6473,10.54,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d43:1,Cer AS d43:1,Cer_AS.d43:1__Np,Cer_AS,C43 H85 N O4,679.6477,10.92,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d43:1,Cer AS d43:1,Cer_AS.d43:1__Np,Cer_AS,C43 H85 N O4,679.6478,10.91,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d43:1,Cer AS d43:1,Cer_AS.d43:1__Np,Cer_AS,C43 H85 N O4,679.6473,10.54,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d43:1,Cer AS d43:1,Cer_AS.d43:1__Np,Cer_AS,C43 H85 N O4,679.6477,10.92,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d43:1_1,Cer AS d43:1,Cer_AS.d43:1_1__Np,Cer_AS,C43 H85 N O4,679.6477,10.92,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d44:1,Cer AS d44:1,Cer_AS.d44:1__Np,Cer_AS,C44 H87 N O4,693.6634,11.33,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d44:2,Cer AS d44:2,Cer_AS.d44:2__Np,Cer_AS,C44 H85 N O4,691.6475,11.35,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d44:2,Cer AS d44:2,Cer_AS.d44:2__Np,Cer_AS,C44 H85 N O4,691.6476,10.45,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d44:2,Cer AS d44:2,Cer_AS.d44:2__Np,Cer_AS,C44 H85 N O4,691.6475,11.35,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d44:2,Cer AS d44:2,Cer_AS.d44:2__Np,Cer_AS,C44 H85 N O4,691.6476,10.45,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d46:1,Cer AS d46:1,Cer_AS.d46:1__Np,Cer_AS,C46 H91 N O4,721.6945,12.79,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d46:2,Cer AS d46:2,Cer_AS.d46:2__Np,Cer_AS,C46 H89 N O4,719.6788,11.21,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d47:1,Cer AS d47:1,Cer_AS.d47:1__Np,Cer_AS,C47 H93 N O4,735.7103,12.35,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d48:1,Cer AS d48:1,Cer_AS.d48:1__Np,Cer_AS,C48 H95 N O4,749.7259,13.37,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d48:1,Cer AS d48:1,Cer_AS.d48:1__Np,Cer_AS,C48 H95 N O4,749.7259,12.67,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d48:1,Cer AS d48:1,Cer_AS.d48:1__Np,Cer_AS,C48 H95 N O4,749.7259,13.37,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d48:1,Cer AS d48:1,Cer_AS.d48:1__Np,Cer_AS,C48 H95 N O4,749.7259,12.67,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d49:1,Cer AS d49:1,Cer_AS.d49:1__Np,Cer_AS,C49 H97 N O4,763.7416,12.98,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d50:2,Cer AS d50:2,Cer_AS.d50:2__Np,Cer_AS,C50 H97 N O4,775.7414,13.29,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d51:1,Cer AS d51:1,Cer_AS.d51:1__Np,Cer_AS,C51 H101 N O4,791.7727,13.55,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d51:1,Cer AS d51:1,Cer_AS.d51:1__Np,Cer_AS,C51 H101 N O4,791.7729,13.54,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d51:1,Cer AS d51:1,Cer_AS.d51:1__Np,Cer_AS,C51 H101 N O4,791.7727,13.55,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d51:1,Cer AS d51:1,Cer_AS.d51:1__Np,Cer_AS,C51 H101 N O4,791.7729,13.54,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d52:2,Cer AS d52:2,Cer_AS.d52:2__Np,Cer_AS,C52 H101 N O4,803.7726,13.18,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d52:2,Cer AS d52:2,Cer_AS.d52:2__Np,Cer_AS,C52 H101 N O4,803.7728,11.4,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_AS d52:2_1,Cer AS d52:2,Cer_AS.d52:2_1__Np,Cer_AS,C52 H101 N O4,803.7728,11.4,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-sphingosine,
Cer_BDS d16:0_19:0,Cer BDS d16:0 19:0,Cer_BDS.d16:0_19:0__Np,Cer_BDS,C35 H71 N O4,569.5383,8.81,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-dihydrosphingosine,
Cer_BDS d16:0_20:0,Cer BDS d16:0 20:0,Cer_BDS.d16:0_20:0__Np,Cer_BDS,C36 H73 N O4,583.5539,8.7,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-dihydrosphingosine,
Cer_BDS d16:0_24:0,Cer BDS d16:0 24:0,Cer_BDS.d16:0_24:0__Np,Cer_BDS,C40 H81 N O4,639.6161,10.02,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-dihydrosphingosine,
Cer_BDS d17:0_16:0,Cer BDS d17:0 16:0,Cer_BDS.d17:0_16:0__Np,Cer_BDS,C33 H67 N O4,541.5067,7.27,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-dihydrosphingosine,
Cer_BDS d17:0_20:0,Cer BDS d17:0 20:0,Cer_BDS.d17:0_20:0__Np,Cer_BDS,C37 H75 N O4,597.5696,9.2,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-dihydrosphingosine,
Cer_BDS d18:0_16:0,Cer BDS d18:0 16:0,Cer_BDS.d18:0_16:0__Np,Cer_BDS,C34 H69 N O4,555.5224,7.76,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-dihydrosphingosine,
Cer_BDS d18:0_17:0,Cer BDS d18:0 17:0,Cer_BDS.d18:0_17:0__Np,Cer_BDS,C35 H71 N O4,569.5381,8.26,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-dihydrosphingosine,
Cer_BDS d18:0_20:0,Cer BDS d18:0 20:0,Cer_BDS.d18:0_20:0__Np,Cer_BDS,C38 H77 N O4,611.5852,9.67,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-dihydrosphingosine,
Cer_BDS d19:0_16:0,Cer BDS d19:0 16:0,Cer_BDS.d19:0_16:0__Np,Cer_BDS,C35 H71 N O4,569.5383,8.04,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-dihydrosphingosine,
Cer_BDS d28:0_20:0,Cer BDS d28:0 20:0,Cer_BDS.d28:0_20:0__Np,Cer_BDS,C48 H97 N O4,751.7417,13.32,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-dihydrosphingosine,
Cer_BDS d50:0,Cer BDS d50:0,Cer_BDS.d50:0__Np,Cer_BDS,C50 H101 N O4,779.773,13.82,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-dihydrosphingosine,
Cer_BS d16:1_15:0,Cer BS d16:1 15:0,Cer_BS.d16:1_15:0__Np,Cer_BS,C31 H61 N O4,511.4601,6.43,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_15:0,Cer BS d16:1 15:0,Cer_BS.d16:1_15:0__Np,Cer_BS,C31 H61 N O4,511.46,6.45,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_15:0,Cer BS d16:1 15:0,Cer_BS.d16:1_15:0__Np,Cer_BS,C31 H61 N O4,511.4601,6.43,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_15:0,Cer BS d16:1 15:0,Cer_BS.d16:1_15:0__Np,Cer_BS,C31 H61 N O4,511.46,6.45,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_16:0,Cer BS d16:1 16:0,Cer_BS.d16:1_16:0__Np,Cer_BS,C32 H63 N O4,525.4756,6.41,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_16:0,Cer BS d16:1 16:0,Cer_BS.d16:1_16:0__Np,Cer_BS,C32 H63 N O4,525.4757,6.39,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_16:0,Cer BS d16:1 16:0,Cer_BS.d16:1_16:0__Np,Cer_BS,C32 H63 N O4,525.4756,6.41,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_16:0,Cer BS d16:1 16:0,Cer_BS.d16:1_16:0__Np,Cer_BS,C32 H63 N O4,525.4757,6.39,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_19:0,Cer BS d16:1 19:0,Cer_BS.d16:1_19:0__Np,Cer_BS,C35 H69 N O4,567.5225,8.44,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_19:0,Cer BS d16:1 19:0,Cer_BS.d16:1_19:0__Np,Cer_BS,C35 H69 N O4,567.5226,8.42,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_19:0,Cer BS d16:1 19:0,Cer_BS.d16:1_19:0__Np,Cer_BS,C35 H69 N O4,567.5225,8.44,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_19:0,Cer BS d16:1 19:0,Cer_BS.d16:1_19:0__Np,Cer_BS,C35 H69 N O4,567.5226,8.42,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_21:0,Cer BS d16:1 21:0,Cer_BS.d16:1_21:0__Np,Cer_BS,C37 H73 N O4,595.5537,9.37,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_23:0,Cer BS d16:1 23:0,Cer_BS.d16:1_23:0__Np,Cer_BS,C39 H77 N O4,623.5849,10.23,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_23:1,Cer BS d16:1 23:1,Cer_BS.d16:1_23:1__Np,Cer_BS,C39 H75 N O4,621.565,9.71,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_24:0,Cer BS d16:1 24:0,Cer_BS.d16:1_24:0__Np,Cer_BS,C40 H79 N O4,637.6008,10.14,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d16:1_26:1,Cer BS d16:1 26:1,Cer_BS.d16:1_26:1__Np,Cer_BS,C42 H81 N O4,663.6163,10.11,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d17:1_16:0,Cer BS d17:1 16:0,Cer_BS.d17:1_16:0__Np,Cer_BS,C33 H65 N O4,539.4914,6.86,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d17:1_19:0,Cer BS d17:1 19:0,Cer_BS.d17:1_19:0__Np,Cer_BS,C36 H71 N O4,581.5382,8.88,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d17:1_20:0,Cer BS d17:1 20:0,Cer_BS.d17:1_20:0__Np,Cer_BS,C37 H73 N O4,595.5538,8.84,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d17:1_24:0,Cer BS d17:1 24:0,Cer_BS.d17:1_24:0__Np,Cer_BS,C41 H81 N O4,651.6162,10.6,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d18:1_16:0,Cer BS d18:1 16:0,Cer_BS.d18:1_16:0__Np,Cer_BS,C34 H67 N O4,553.5069,7.39,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d18:1_19:0,Cer BS d18:1 19:0,Cer_BS.d18:1_19:0__Np,Cer_BS,C37 H73 N O4,595.5539,9.36,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d19:1_20:0,Cer BS d19:1 20:0,Cer_BS.d19:1_20:0__Np,Cer_BS,C39 H77 N O4,623.585,9.6,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d19:1_24:0,Cer BS d19:1 24:0,Cer_BS.d19:1_24:0__Np,Cer_BS,C43 H85 N O4,679.6475,11.38,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_BS d48:1,Cer BS d48:1,Cer_BS.d48:1__Np,Cer_BS,C48 H95 N O4,749.7256,12.97,Sphingolipids ,SP,Ceramides,Ceramide β-hydroxy fatty acid-Sphingosine,
Cer_EODS d14:0_16:2_16:0,Cer EODS d14:0 16:2 16:0,Cer_EODS.d14:0_16:2_16:0__Np,Cer_EODS,C46 H87 N O5,733.6556,12.34,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d15:0_16:2_18:0,Cer EODS d15:0 16:2 18:0,Cer_EODS.d15:0_16:2_18:0__Np,Cer_EODS,C49 H93 N O5,775.7032,13.27,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d15:0_19:0_16:0,Cer EODS d15:0 19:0 16:0,Cer_EODS.d15:0_19:0_16:0__Np,Cer_EODS,C50 H99 N O5,793.7514,12.76,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d17:0_15:1_22:0,Cer EODS d17:0 15:1 22:0,Cer_EODS.d17:0_15:1_22:0__Np,Cer_EODS,C54 H105 N O5,847.7991,13.64,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d17:0_16:0_22:0,Cer EODS d17:0 16:0 22:0,Cer_EODS.d17:0_16:0_22:0__Np,Cer_EODS,C55 H109 N O5,863.8301,14.09,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d17:0_21:0_16:0,Cer EODS d17:0 21:0 16:0,Cer_EODS.d17:0_21:0_16:0__Np,Cer_EODS,C54 H107 N O5,849.814,13.62,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d17:0_21:1_22:0,Cer EODS d17:0 21:1 22:0,Cer_EODS.d17:0_21:1_22:0__Np,Cer_EODS,C60 H117 N O5,931.8929,14.49,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d18:0_15:1_20:0,Cer EODS d18:0 15:1 20:0,Cer_EODS.d18:0_15:1_20:0__Np,Cer_EODS,C53 H103 N O5,833.7834,13.37,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d18:0_34:2_18:2,Cer EODS d18:0 34:2 18:2,Cer_EODS.d18:0_34:2_18:2__Np,Cer_EODS,C70 H131 N O5,1066.0028,14.49,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d19:0_13:1_16:1,Cer EODS d19:0 13:1 16:1,Cer_EODS.d19:0_13:1_16:1__Np,Cer_EODS,C48 H91 N O5,761.6893,11.21,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d19:0_15:1_16:1,Cer EODS d19:0 15:1 16:1,Cer_EODS.d19:0_15:1_16:1__Np,Cer_EODS,C50 H95 N O5,789.7206,11.91,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d23:0_27:1_22:0,Cer EODS d23:0 27:1 22:0,Cer_EODS.d23:0_27:1_22:0__Np,Cer_EODS,C72 H141 N O5,1100.0798,14.88,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d24:0_22:0_22:0,Cer EODS d24:0 22:0 22:0,Cer_EODS.d24:0_22:0_22:0__Np,Cer_EODS,C68 H135 N O5,1046.0329,14.85,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d46:1,Cer EODS d46:1,Cer_EODS.d46:1__Np,Cer_EODS,C46 H89 N O5,735.6737,11.2,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d48:1,Cer EODS d48:1,Cer_EODS.d48:1__Np,Cer_EODS,C48 H93 N O5,763.7051,11.87,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d48:2,Cer EODS d48:2,Cer_EODS.d48:2__Np,Cer_EODS,C48 H91 N O5,761.6895,11.22,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d52:0,Cer EODS d52:0,Cer_EODS.d52:0__Np,Cer_EODS,C52 H103 N O5,821.7833,13.57,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d52:1,Cer EODS d52:1,Cer_EODS.d52:1__Np,Cer_EODS,C52 H101 N O5,819.7675,12.71,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d54:0,Cer EODS d54:0,Cer_EODS.d54:0__Np,Cer_EODS,C54 H107 N O5,849.8146,14.02,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d54:0,Cer EODS d54:0,Cer_EODS.d54:0__Np,Cer_EODS,C54 H107 N O5,849.8148,14.04,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d54:0,Cer EODS d54:0,Cer_EODS.d54:0__Np,Cer_EODS,C54 H107 N O5,849.8146,14.02,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d54:0,Cer EODS d54:0,Cer_EODS.d54:0__Np,Cer_EODS,C54 H107 N O5,849.8148,14.04,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d55:0,Cer EODS d55:0,Cer_EODS.d55:0__Np,Cer_EODS,C55 H109 N O5,863.8302,14.08,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d55:1,Cer EODS d55:1,Cer_EODS.d55:1__Np,Cer_EODS,C55 H107 N O5,861.8149,13.85,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d55:1,Cer EODS d55:1,Cer_EODS.d55:1__Np,Cer_EODS,C55 H107 N O5,861.8146,13.84,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d55:1,Cer EODS d55:1,Cer_EODS.d55:1__Np,Cer_EODS,C55 H107 N O5,861.8149,13.85,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d55:1,Cer EODS d55:1,Cer_EODS.d55:1__Np,Cer_EODS,C55 H107 N O5,861.8146,13.84,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d56:0,Cer EODS d56:0,Cer_EODS.d56:0__Np,Cer_EODS,C56 H111 N O5,877.8455,14.2,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d60:0,Cer EODS d60:0,Cer_EODS.d60:0__Np,Cer_EODS,C60 H119 N O5,933.9084,14.57,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d63:3,Cer EODS d63:3,Cer_EODS.d63:3__Np,Cer_EODS,C63 H119 N O5,969.9085,13.87,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d65:3,Cer EODS d65:3,Cer_EODS.d65:3__Np,Cer_EODS,C65 H123 N O5,997.94,14.23,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d68:4,Cer EODS d68:4,Cer_EODS.d68:4__Np,Cer_EODS,C68 H127 N O5,1037.9718,14.37,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d69:3,Cer EODS d69:3,Cer_EODS.d69:3__Np,Cer_EODS,C69 H131 N O5,1054.0035,14.53,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d69:4,Cer EODS d69:4,Cer_EODS.d69:4__Np,Cer_EODS,C69 H129 N O5,1051.9869,14.42,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EODS d72:1,Cer EODS d72:1,Cer_EODS.d72:1__Np,Cer_EODS,C72 H141 N O5,1100.0796,14.88,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-dihydrosphingosine,
Cer_EOS d18:1_30:0_18:2,Cer EOS d18:1 30:0 18:2,Cer_EOS.d18:1_30:0_18:2__Np,Cer_EOS,C66 H125 N O5,1011.9561,14.37,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-sphingosine,
Cer_EOS d20:1_30:1_18:2,Cer EOS d20:1 30:1 18:2,Cer_EOS.d20:1_30:1_18:2__Np,Cer_EOS,C68 H127 N O5,1037.9717,14.36,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-sphingosine,
Cer_EOS d21:1_25:1_18:2,Cer EOS d21:1 25:1 18:2,Cer_EOS.d21:1_25:1_18:2__Np,Cer_EOS,C64 H119 N O5,981.9098,14.16,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-sphingosine,
Cer_EOS d21:1_29:0_18:2,Cer EOS d21:1 29:0 18:2,Cer_EOS.d21:1_29:0_18:2__Np,Cer_EOS,C68 H129 N O5,1039.9877,14.49,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-sphingosine,
Cer_EOS d21:1_32:1_18:2,Cer EOS d21:1 32:1 18:2,Cer_EOS.d21:1_32:1_18:2__Np,Cer_EOS,C71 H133 N O5,1080.0188,14.53,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-sphingosine,
Cer_EOS d25:1_21:0_18:2,Cer EOS d25:1 21:0 18:2,Cer_EOS.d25:1_21:0_18:2__Np,Cer_EOS,C64 H121 N O5,983.9244,14.13,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-sphingosine,
Cer_EOS d26:1_23:0_18:2,Cer EOS d26:1 23:0 18:2,Cer_EOS.d26:1_23:0_18:2__Np,Cer_EOS,C67 H127 N O5,1025.9713,14.42,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-sphingosine,
Cer_EOS d49:2,Cer EOS d49:2,Cer_EOS.d49:2__Np,Cer_EOS,C49 H93 N O5,775.7053,11.56,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-sphingosine,
Cer_EOS d53:1,Cer EOS d53:1,Cer_EOS.d53:1__Np,Cer_EOS,C53 H103 N O5,833.7836,13.37,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-sphingosine,
Cer_EOS d56:1,Cer EOS d56:1,Cer_EOS.d56:1__Np,Cer_EOS,C56 H109 N O5,875.8303,14.13,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-sphingosine,
Cer_EOS d56:1,Cer EOS d56:1,Cer_EOS.d56:1__Np,Cer_EOS,C56 H109 N O5,875.8304,14.12,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-sphingosine,
Cer_EOS d56:1,Cer EOS d56:1,Cer_EOS.d56:1__Np,Cer_EOS,C56 H109 N O5,875.8303,14.13,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-sphingosine,
Cer_EOS d56:1,Cer EOS d56:1,Cer_EOS.d56:1__Np,Cer_EOS,C56 H109 N O5,875.8304,14.12,Sphingolipids ,SP,Ceramides,Ceramide esterified ω-hydroxy fatty acid-sphingosine,
