CompoundID,CompoundName,Formula,Phase,Mass,RT,P2_ChloraPrep_EndPoint.1,P2_ChloraPrep_EndPoint.2,P2_ChloraPrep_EndPoint.3,P2_ChloraPrep_Baseline.1,P2_ChloraPrep_Baseline.2,P2_ChloraPrep_Baseline.3,P2_ChloraPrep_PostIntervention.1,P2_ChloraPrep_PostIntervention.2,P2_ChloraPrep_PostIntervention.3,P2_FullSurgicalPrep_EndPoint.1,P2_FullSurgicalPrep_EndPoint.2,P2_FullSurgicalPrep_EndPoint.3,P2_FullSurgicalPrep_Baseline.1,P2_FullSurgicalPrep_Baseline.2,P2_FullSurgicalPrep_Baseline.3,P2_FullSurgicalPrep_PostIntervention.1,P2_FullSurgicalPrep_PostIntervention.2,P2_FullSurgicalPrep_PostIntervention.3,P2_Water_EndPoint.1,P2_Water_EndPoint.2,P2_Water_EndPoint.3,P2_Water_Baseline.1,P2_Water_Baseline.2,P2_Water_Baseline.3,P2_Water_PostIntervention.1,P2_Water_PostIntervention.2,P2_Water_PostIntervention.3
Cer_ADS.d26:0_13:0__Np,Cer_ADS d26:0_13:0,C39 H79 N O4,Negative Phase,625.6005,9.61,627049.8687,366109.167,360837.1502,20730.7286,217496.182,339021.4649,48304.82448,332690.6993,66697.8388,959343.7151,42476.19276,460335.6307,54609.53994,0,49961.89263,79411.87841,1329563.719,273142.8997,118974.6904,183291.6264,523683.7296,783229.283,765179.6503,352567.7268,106771.2529,566846.0447,158073.652
Cer_ADS.d26:0_15:1__Np,Cer_ADS d26:0_15:1,C41 H81 N O4,Negative Phase,651.616,9.75,808626.6829,848253.4726,677578.4591,233493.3978,480998.7964,312930.0413,286102.2134,511352.6178,499106.9018,567716.2544,219466.2674,321593.0852,282756.4669,380642.2316,312292.1071,258538.4907,787994.9503,467679.2461,670342.5254,708376.4518,497227.7637,613541.4108,628304.8098,341001.787,1103835.13,744485.4557,374396.7966
Cer_ADS.d30:0__Np,Cer_ADS d30:0,C30 H61 N O4,Negative Phase,499.46,6.34,1026078.975,1013997.388,1005743.047,434512.6109,565799.4723,580123.784,481057.0472,833912.7291,838467.1343,1479370.144,387258.3527,724935.9237,502503.0284,458190.6997,635599.2898,477782.7143,1228368.944,569522.4853,754562.5336,501843.9441,834965.5702,597723.4006,519764.8702,398988.9985,1116202.667,873009.8995,454198.8578
Cer_ADS.d30:0_22:1__Np,Cer_ADS d30:0_22:1,C52 H103 N O4,Negative Phase,805.7883,13.77,2493192.822,3370304.86,3354695.398,625761.0211,1440690.828,1425243.788,1692465.317,2970809.05,2922965.839,4989129.595,1045399.243,1964289.212,1346724.315,932784.5009,1780262.927,1807377.702,3922941.408,2157507.554,3142956.973,2466983.959,3293796.589,1455906.175,1645248.887,737689.9621,3906222.094,3334623.044,1026713.167
Cer_ADS.d31:0__Np,Cer_ADS d31:0,C31 H63 N O4,Negative Phase,513.4759,6.84,16111141.98,14925782.51,14801450.03,7258132.705,10322211,10494481.97,7616107.962,12803377.93,12495932.76,22626638.86,6097072.038,10136495.82,7135838.503,8999796.268,11463604.98,7068201.057,17256690.79,8175091.513,14339549.16,10863233.34,14395046.53,9467551.465,8400810.136,7243412.832,15384491.14,13208581.49,8165759.264
Cer_ADS.d31:0_1__Np,Cer_ADS d31:0_1,C31 H63 N O4,Negative Phase,513.4759,6.84,16111141.98,14925782.51,14801450.03,7258132.705,10322211,10494481.97,7616107.962,12805449.83,12495932.76,22626638.86,6097072.038,10136495.82,7135838.503,8999796.268,11463604.98,7068201.057,17256690.79,8175091.513,14339549.16,10863233.34,14395046.53,9467551.465,8400810.136,7243412.832,15384491.14,13208581.49,8165759.264
Cer_ADS.d32:0__Np,Cer_ADS d32:0,C32 H65 N O4,Negative Phase,527.4915,7.34,20513536.26,19965446.25,19137821.25,8663969.827,11782961.05,11358879.84,10086512.4,17025661.89,15674143.05,28860642.61,9013627.406,13878033.65,10226451.68,10240955.61,13497832.31,9267456.462,22407444.33,11135526.25,18042502.15,13979303.78,19705705.04,14500864.07,12464359.22,9236912.799,22080180.51,16918537.77,9390782.476
Cer_ADS.d33:0__Np,Cer_ADS d33:0,C33 H67 N O4,Negative Phase,541.5074,7.87,52637204.15,36102902.84,34292675.4,18182354.14,29748366.85,29230916.46,19057880.58,49220995.06,31023937.51,61858612.6,16544481.98,37507854.68,25535683.51,24490431.32,33035570.58,19493892.52,60376400.27,31625360.99,36407788.06,25970190.05,48805650.69,33069900.16,29574662.9,21993237.36,59155456.66,51432676.49,21591316.37
Cer_ADS.d33:1__Np,Cer_ADS d33:1,C33 H65 N O4,Negative Phase,539.4918,7.42,44576228.08,42507266.29,40598693.41,20112718.64,29276171.09,25314944.85,21218525.03,39600855.89,35221120.2,64057025.41,18687034.3,26678906.01,23856430.96,24260032.5,29298809.08,19446857.25,49563200.04,23774305.21,38017976.99,27965900.05,41383554.57,35087953.43,33843578.14,22870060.2,58493342.9,44718869.5,21897659.91
Cer_ADS.d34:1__Np,Cer_ADS d34:1,C34 H67 N O4,Negative Phase,553.5074,7.92,32967098.73,32887747.77,30877613.19,14842573,24628551,19468796.19,17608466.71,39612249.16,28098525.05,50325269.9,17563351.78,21785337.29,18842246.37,18299602.17,22251933.62,15279462.04,41736416.58,20018540.2,31641515.51,23306532.38,28345751.17,34620376.83,37214395.28,25242533.01,63485344.45,53993930.99,20588527.8
Cer_ADS.d36:0__Np,Cer_ADS d36:0,C36 H73 N O4,Negative Phase,583.5542,9.26,30636485.89,31857085.44,27938462.99,12181895.77,16658224.52,13539817.24,13988955.45,23728376.4,20817792.75,42403288.33,13294114.41,19737564.57,12531380.23,13625914.56,17054837.34,13124277.67,30576191.32,14644136.14,27848403.73,22175531.94,29011699.08,18242929.66,20841299.12,13062696.94,36857734.68,26929374.54,15681670.34
Cer_ADS.d37:0__Np,Cer_ADS d37:0,C37 H75 N O4,Negative Phase,597.5696,9.22,14404092.75,13375808.26,13457673.96,4632180.817,7253791.594,6430676.079,6586060.638,11121280.42,10464386.88,22445619.32,4474889.729,7923122.18,5585527.652,5506603.499,7774321.711,6086646.984,16658098.07,7716752.202,10028476.31,7800705.28,11551778.79,7242187.445,7451890.523,4837365.305,13195801.56,10074635.18,4906939.273
Cer_ADS.d37:0_1__Np,Cer_ADS d37:0_1,C37 H75 N O4,Negative Phase,597.5697,9.75,15536516.58,17979241.99,15527971.4,5766212.568,9344026.721,7461147.33,7235571.409,12816018.59,11500723.17,27735091.72,5783177.379,9712965.352,6342405.092,8462033.947,8853600.837,5864268.025,13964532.71,7541709.077,14086452.26,10481058.52,12428881.05,11164118.43,10526156.75,7836417.402,18978811.72,13917253.41,6501330.876
Cer_ADS.d37:0_2__Np,Cer_ADS d37:0_2,C37 H75 N O4,Negative Phase,597.5692,8.68,423027.178,562492.8174,462137.0878,129980.1326,154930.6886,213799.8475,115876.6491,164349.3213,243371.2562,341673.2814,210710.5063,147077.1908,145015.225,172795.6372,117610.9519,104077.5874,460871.4352,151787.0935,437696.26,152223.7018,203123.8606,104590.5466,228299.9156,114120.1449,288060.0416,189077.4706,150013.4426
Cer_ADS.d38:0__Np,Cer_ADS d38:0,C38 H77 N O4,Negative Phase,611.5853,9.7,23203308.23,23672121.43,21802626.09,6271056.952,11468434.36,9808908.199,9769981.711,17691145.55,15513760.62,35378548.86,7423347.796,13829209.81,8479150.452,9575455.12,11872230.42,9336605.654,23605042.45,11482734.45,16616991.79,13518306.97,17525342.55,13360402.12,12878675.43,9118598.084,21281617.9,17270900.06,7206966.361
Cer_ADS.d38:0_1__Np,Cer_ADS d38:0_1,C38 H77 N O4,Negative Phase,611.5849,9.13,465036.8193,619758.2669,480197.0375,109894.7236,315167.3581,224609.7872,215064.9278,296155.9256,329285.7143,1105346.212,132765.9548,285583.4508,251239.2672,309958.0975,270154.2376,219097.3738,128213.0075,101994.4817,325076.8873,255030.24,319959.4466,372798.7573,225339.0339,312209.2979,595632.7465,403541.4154,306651.9109
Cer_ADS.d38:1__Np,Cer_ADS d38:1,C38 H75 N O4,Negative Phase,609.5695,9.8,4693554.52,6261830.259,4928872.706,1824686.089,3123293.431,2082126.057,2578283.082,4439990.008,3607512.462,12228128.53,1763278.8,2716700.653,1900701.523,3182120.286,2343787.118,1249972.497,3612797.362,2010820.321,3602350.527,2896037.123,2510414.253,5441945.989,5726006.339,4650461.585,7988357.651,6692414.859,2860740.733
Cer_ADS.d39:0__Np,Cer_ADS d39:0,C39 H79 N O4,Negative Phase,625.6009,10.11,11739444.08,10244646.01,10369491.06,3180585.21,5226293.806,4527994.258,4661394.504,8138751.496,7509095.605,16054248.57,3284036.995,6702069.596,3920718.317,3999119.401,5401775.236,4674978.797,13731240.68,6023942.972,8119641.005,6623928.151,9794689.127,5508458.259,5648781.156,3815438.716,7914289.453,6525179.601,2855970.004
Cer_ADS.d39:0_1__Np,Cer_ADS d39:0_1,C39 H79 N O4,Negative Phase,625.601,10.59,9343079.351,9212212.783,9400412.308,3016407.928,5365744.338,4534184.62,4567410.081,8460037.005,6974463.399,14786125.44,3480030.631,6492062.428,4524475.347,4486666.983,5452281.989,4197163.687,11114907.71,5588963.751,8716199.299,6351418.83,8347908.221,6760354.174,6178410.915,4733872.665,10235223.59,8930806.825,3307786.578
Cer_ADS.d40:0__Np,Cer_ADS d40:0,C40 H81 N O4,Negative Phase,639.6166,10.55,22253711.33,20872810.92,19747304.3,5523610.666,11147135.2,8661911.168,8651132.158,17785926,14602940.42,32086922.68,7246583.34,13695816.44,8847678.466,7976013.704,11350349.36,9098090.349,25665197.24,11958630.84,16044237.83,12882603.94,17965608.33,13939868.16,13615063.38,9798009.788,21001220.5,19996135.32,5696452.999
Cer_ADS.d40:1__Np,Cer_ADS d40:1,C40 H79 N O4,Negative Phase,637.6008,9.7,5316329.279,6283073.867,5522634.241,2089063,3659270.354,2770880.043,2379563.371,5027072.643,4052605.944,9115028.471,1671366.202,3315576.116,2588679.82,3044455.127,2889837.627,2027781.467,5591146.691,2851939.393,4996614.388,3640728.604,5041527.85,4310565.04,4063164.084,3147152.429,7690225.686,6123979.69,2638537.143
Cer_ADS.d40:1_1__Np,Cer_ADS d40:1_1,C40 H79 N O4,Negative Phase,637.6007,10.63,2637000.215,2723616.404,2932883.778,1300979.439,2551782.228,1617577.02,1580783.522,4771921.121,2206175.114,5684103.932,1317600.99,1751995.908,1970033.557,1668244.213,1890979.459,1116880.968,5259866.637,1887096.769,2184539.944,1413093.93,1920736.457,5149521.143,6129062.38,4472100.536,8177606.027,7729618.673,1640995.07
Cer_ADS.d41:0__Np,Cer_ADS d41:0,C41 H83 N O4,Negative Phase,653.6321,10.94,17043881.38,14515016.24,13903847.69,3629345.7,5472661.021,5698626.973,6137510.54,11210076.52,10057952.5,22749831.57,5401207.647,9439076.545,4856099.781,4214222.052,6900792.557,6746917.536,18965838.46,7977393.054,11802499.41,9135697.453,14389655.93,5911529.183,7201937.854,4504962.525,11524967.04,10492606.04,3581230.748
Cer_ADS.d41:0_1__Np,Cer_ADS d41:0_1,C41 H83 N O4,Negative Phase,653.6317,10.49,1778210.808,710627.4507,1094447.972,67531.32864,490098.0709,1076673.326,651979.8888,1525283.079,472717.5555,2331903.659,640740.0041,337120.4709,1296563.857,374741.4325,848358.5808,855952.4015,2028387.38,643027.8848,1715072.232,926542.1415,1327478.892,757136.8051,1836224.202,693122.3227,2373589.176,2879438.353,197996.7251
Cer_ADS.d41:0_2__Np,Cer_ADS d41:0_2,C41 H83 N O4,Negative Phase,653.6323,11.38,10063829.01,9127708.793,8756659.7,2713839.283,4856889.045,4366338.248,4569135.636,8014169.343,6908675.899,13739506.43,4063917.799,6752594.189,4145185.195,3927329.891,5277898.188,4682283.158,11567710.8,5796047.655,8984125.777,6625345.122,8927681.515,6066332.585,5877383.537,4206703.499,9439598.532,8846328.22,3520759.601
Cer_ADS.d41:1__Np,Cer_ADS d41:1,C41 H81 N O4,Negative Phase,651.6162,11.06,974932.1302,962537.2871,925927.0321,273225.485,352921.2344,402194.0034,504499.7112,808480.2668,632656.2311,1424269.28,351008.1407,605306.3206,490658.3066,391741.2407,598569.721,391518.6843,1093937.55,534971.4021,735540.4883,567214.4494,991927.4512,588367.0472,755399.3341,586063.6737,818150.3268,1298328.394,391893.5795
Cer_ADS.d42:0__Np,Cer_ADS d42:0,C42 H85 N O4,Negative Phase,667.6479,11.35,29678318.62,26012991.91,23884967.69,5618679.247,11390781.34,10018405.81,10567957.68,21302220.55,18851090.02,40718741.17,9796813.1,18292586.04,9369899.777,9420216.17,12719517.66,11651631.16,31221319.41,14984901.29,20610668.26,15865895.57,24131969.51,13660411.23,12318200.28,8710809.223,21959910.45,20241363.12,6263594.514
Cer_ADS.d42:1__Np,Cer_ADS d42:1,C42 H83 N O4,Negative Phase,665.6321,10.55,6990934.209,6967699.435,6538859.468,2558524.951,5125715.209,3550947.147,3048384.138,6716904.171,5156302.722,10211384.6,2768200.844,4130414.549,3926456.071,3724927.654,4262252.375,2867345.867,8029234.464,3930991.938,6333760.019,4573429.499,6187229.648,6398879.248,6752985.464,4838444.176,10841602.23,10319938.48,3373986.333
Cer_ADS.d43:0__Np,Cer_ADS d43:0,C43 H87 N O4,Negative Phase,681.6631,11.28,383510.2665,1931256.707,1535071.525,48491.09728,228286.998,504724.8426,560939.3017,924808.5394,1120593.004,820319.8286,212507.3822,93088.60644,365812.1422,207717.0064,178454.835,0,2034684.31,960065.9648,712524.1791,850292.5484,607422.5461,374523.2583,1022709.905,352749.5341,758475.8381,1707102.69,652327.7066
Cer_ADS.d44:0__Np,Cer_ADS d44:0,C44 H89 N O4,Negative Phase,695.6791,12.07,31791799.71,27747424.27,27720241.35,6111989.549,12864841.64,10755133.08,12300178.59,23356447.49,20623444.24,43109607.44,10072641.79,19573300.54,9253556.613,10990413.57,13479516.94,12646619.9,32931965.88,15998223.66,23031618.87,18900744.04,26886430.32,15155513.71,14052877.41,10327744.38,24983139.76,21935608.24,7294860.763
Cer_ADS.d44:0_1__Np,Cer_ADS d44:0_1,C44 H89 N O4,Negative Phase,695.6794,12.45,23479566.61,21372807.79,20716473.21,5789524.771,9094519.443,7559469.735,9017919.487,16943743.03,14094647.09,33469335.36,7402033.196,14949391.18,7289310.605,8129944.168,10811313.37,9440475.568,23756367.4,11014142.92,19787469.47,15302501.31,23728249.68,11064447.08,11989618.81,7737224.618,20453083.44,18208487.25,6098656.279
Cer_ADS.d45:0__Np,Cer_ADS d45:0,C45 H91 N O4,Negative Phase,709.6947,12.4,19426041.96,16198029.59,15406939.88,3971465.704,6828538.423,6255644.931,7795505.825,12246638.82,12167772.39,25325114.6,4244376.436,11316279.61,5666402.598,6858550.197,7377024.379,7866033.505,20797807.88,8224264.546,13115148.21,10446623.05,15679926.75,9045003.202,7618224.574,5846622.712,11532757.48,11275949.42,3715842.668
Cer_ADS.d45:1__Np,Cer_ADS d45:1,C45 H89 N O4,Negative Phase,707.6791,11.67,3264735.805,2984817.901,2787392.12,958325.4092,1823605.36,1347552.36,1405911.873,2612894.995,2379440.828,4182115.837,896057.3664,1640440.044,1319101.997,1947925.991,1558805.786,1170607.264,3354774.669,1667078.568,2762961.881,1911555.253,3068281.107,1742394.87,1926832.767,1562973.089,4525016.086,3201323.892,1601964.603
Cer_ADS.d46:0__Np,Cer_ADS d46:0,C46 H93 N O4,Negative Phase,723.7106,12.73,38137717.67,38002984.32,33262306.81,8169295.502,17277021.06,13683217.78,16787361.37,28964756.07,26129671.12,55039157.57,13714439.98,24344937.49,13015892.01,14385509.92,18469301.37,17892018.38,40699839.45,19415365.42,29011202.09,27679266.07,32951780.61,19580706.96,16343526,12888738.61,29556264.08,29051340.04,8312999.453
Cer_ADS.d47:0__Np,Cer_ADS d47:0,C47 H95 N O4,Negative Phase,737.726,13.02,13384515.16,13176402.23,11426109.17,3310871.759,6780047.048,5913267.481,7222104.268,10776723.81,11136009.76,21172393.86,4894407.957,9609624.244,5089570.366,4749551.381,7982089.861,7518954.304,16118817.74,9256260.583,10031182.22,9272442.642,12486242.29,7239766.331,6297647.103,4381014.805,8955419.82,9480670.844,2964687.686
Cer_ADS.d47:0_1__Np,Cer_ADS d47:0_1,C47 H95 N O4,Negative Phase,737.7265,13.36,10723320.06,9639565.97,8922703.213,2405241.005,3258035.596,3975765.9,4045002.631,5717094.936,7604183.427,16714850.59,4066251.796,8172924.687,3560378.995,2241943.721,4616810.592,5355158.289,12843783.48,5763340.11,9633700.513,5858624.323,9010351.035,3552833.683,4771792.343,2900117.516,9057438.129,9030855.294,2215214.521
Cer_ADS.d47:1__Np,Cer_ADS d47:1,C47 H93 N O4,Negative Phase,735.7102,10.31,937309.9583,869787.7186,755304.8524,247390.733,303493.6831,355158.7726,381768.1999,628646.8788,551889.633,1205762.997,305512.7737,582218.6598,261962.4571,265029.0357,405567.1109,373319.8611,993025.9312,430452.7106,1637996.355,1560381.552,1664907.334,318330.1123,314944.7713,200460.543,569968.7031,473625.7352,215069.8861
Cer_ADS.d48:0__Np,Cer_ADS d48:0,C48 H97 N O4,Negative Phase,751.7417,13.33,23022295.3,21952756.28,19344365.19,4818502.3,9113789.131,8279458.105,10438589.65,17918833.95,16490035.53,32096956,8937824.121,16219253.1,7193852.503,6709939.65,10807344.25,10808211.9,26490130.1,12034756.71,18146566.79,16629497.46,19286094.62,9435959.181,10470411.9,6392961.895,19730502.46,16818492.59,4914684.48
Cer_ADS.d49:0__Np,Cer_ADS d49:0,C49 H99 N O4,Negative Phase,765.7572,13.59,7277619.957,6501549.297,6331453.654,1185515.631,1678749.61,1869109.059,2132236.024,6105003.64,5464779.806,10267625.3,2074879.405,4309924.242,1153939.681,786323.1741,2777561.279,2777154.28,7889394.615,3594142.011,5380309.824,4349686.988,6715688.478,1065788.176,2076251.84,905955.643,5446801.065,4204936.235,1046554.031
Cer_ADS.d49:1__Np,Cer_ADS d49:1,C49 H97 N O4,Negative Phase,763.7415,12.97,2777507.784,3944854.884,2802921.756,1024176.341,2623567.573,2215484.851,1954369.799,2674356.472,3523123.386,5447714.504,1462382.275,1935601.922,1703267.044,1784148.03,2691439.007,2208274.674,3774552.241,2725288.409,3436251.458,2465494.111,2511157.32,1774078.943,2112694.751,1348992.148,2818284.815,3339927.523,1263959.018
Cer_ADS.d50:0__Np,Cer_ADS d50:0,C50 H101 N O4,Negative Phase,779.7729,13.79,15053720.19,11291894.79,7508127.05,2725087.274,4638355.274,3964237.725,4760117.849,11412946.93,8885910.765,18994255.52,3864148.735,8784973.917,3937623.61,2678858.349,5744980.728,5409028.409,8589168.033,6582212.493,10892473.28,7906841.795,10459457.84,4782462.27,6060820.892,3502605.385,14072914.37,9619967.959,3118364.168
Cer_ADS.d50:1__Np,Cer_ADS d50:1,C50 H99 N O4,Negative Phase,777.7571,13.25,5637839.382,6238763.392,5091634.854,1894054.095,3974286.437,3030709.701,3305210.669,5293980.298,4798662.842,8618862.324,2031257.05,3597684.914,2807529.268,3140289.819,3713788.133,2912209.917,6960600.58,3877100.909,5292168.497,4457005.504,5327877.809,4076963.611,3557621.825,2805604.553,6844556.436,6416835.664,2202042.26
Cer_ADS.d50:2__Np,Cer_ADS d50:2,C50 H97 N O4,Negative Phase,775.7414,10.74,1048796.97,993436.1852,1024935.08,380572.3176,554712.8673,405392.2753,435306.9506,876191.344,630922.3957,1373137.621,516761.7748,609379.987,402713.5031,420334.0293,491893.7198,414435.514,971753.8439,473299.9484,1911113.119,1595058.41,1685700.796,710310.89,815273.1183,545653.0874,1435856.6,1038847.452,526119.1264
Cer_ADS.d51:0__Np,Cer_ADS d51:0,C51 H103 N O4,Negative Phase,793.7884,14.1,2874997.676,1954684.029,2936354.84,303020.0008,405774.7682,486074.8098,781232.8744,1927113.973,1361834.602,4248106.745,539108.5799,1996521.153,475365.2807,49519.89177,574187.28,891043.3677,3243982.292,725000.6258,2219614.036,1280188.699,2935083.629,285950.5619,433485.8407,172623.2221,2494747.634,1981678.73,204732.8334
Cer_ADS.d54:2__Np,Cer_ADS d54:2,C54 H105 N O4,Negative Phase,831.8041,13.73,291349.8111,559509.6845,279016.739,282145.1686,359323.4213,199635.5043,322635.7364,331337.7295,414538.3293,952011.7702,327977.3584,217080.0865,150092.1089,160587.5271,173082.3652,288090.8265,343178.0592,317506.5458,464801.9606,385006.5108,375955.9395,371892.0989,355451.2445,197915.5758,221795.7459,494645.9623,229351.8609
Cer_AP.t16:0_13:0__Np,Cer_AP t16:0_13:0,C29 H59 N O5,Negative Phase,501.4394,5.09,122266.6138,174670.2788,182518.2668,32442.84706,59516.34645,42845.07311,39792.37312,70780.18426,70288.05903,121374.7135,37917.34117,55285.08211,40272.4137,37798.34599,52746.65697,33795.08489,82139.70472,40470.61788,179628.5416,95625.78641,149764.6672,44649.07989,44194.25256,39799.38489,109385.0854,81544.44047,41539.85635
Cer_AP.t16:0_14:0__Np,Cer_AP t16:0_14:0,C30 H61 N O5,Negative Phase,515.4549,5.53,205590.509,190346.6344,191336.5979,89329.13165,120836.9556,108661.813,87143.35981,166134.8692,143417.6587,263291.5686,69091.74513,118023.3515,91164.94915,86818.49805,119972.1057,76708.05114,186412.5548,97776.66181,194883.1375,135310.573,212319.9237,101739.782,99347.99085,74736.36057,213881.2009,159133.563,94612.6088
