CompoundID,CompoundName,Formula,Phase,Mass,RT,P2_ChloraPrep_EndPoint.1,P2_ChloraPrep_EndPoint.2,P2_ChloraPrep_EndPoint.3,P2_ChloraPrep_Baseline.1,P2_ChloraPrep_Baseline.2,P2_ChloraPrep_Baseline.3,P2_ChloraPrep_PostIntervention.1,P2_ChloraPrep_PostIntervention.2,P2_ChloraPrep_PostIntervention.3,P2_FullSurgicalPrep_EndPoint.1,P2_FullSurgicalPrep_EndPoint.2,P2_FullSurgicalPrep_EndPoint.3,P2_FullSurgicalPrep_Baseline.1,P2_FullSurgicalPrep_Baseline.2,P2_FullSurgicalPrep_Baseline.3,P2_FullSurgicalPrep_PostIntervention.1,P2_FullSurgicalPrep_PostIntervention.2,P2_FullSurgicalPrep_PostIntervention.3,P2_Water_EndPoint.1,P2_Water_EndPoint.2,P2_Water_EndPoint.3,P2_Water_Baseline.1,P2_Water_Baseline.2,P2_Water_Baseline.3,P2_Water_PostIntervention.1,P2_Water_PostIntervention.2,P2_Water_PostIntervention.3
Cer_ADS.d16:0_14:0__Np,Cer_ADS d16:0_14:0,C30 H61 N O4,Negative Phase,499.46,6.34,1026016.299,1013997.388,1006128.952,434512.6109,565799.4723,580123.784,481057.0472,833912.7291,838428.987,1479370.144,387258.3527,724935.9237,502503.0284,458190.6997,635599.2898,477782.7143,1227351.866,569522.4853,754562.5336,495079.2457,832864.6496,605206.0309,519764.8702,398988.9985,1117333.345,873009.8995,454198.8578
Cer_ADS.d16:0_16:0__Np,Cer_ADS d16:0_16:0,C32 H65 N O4,Negative Phase,527.4915,7.34,20513536.26,19965446.25,19137821.25,8663969.827,11782961.05,11358879.84,10089676.65,17025661.89,15674143.05,28860642.61,9013627.406,13878033.65,10226451.68,10240955.61,13497832.31,9267456.462,22403572.48,11135526.25,18042502.15,13979303.78,19705705.04,14500864.07,12460943.37,9236912.799,22080180.51,16918537.77,9390782.476
Cer_ADS.d16:0_24:0__Np,Cer_ADS d16:0_24:0,C40 H81 N O4,Negative Phase,639.6159,10.04,897599.176,897427.1991,984896.9428,449782.2669,836644.3729,624106.8657,257654.1453,1055576.258,986043.0803,1523663.672,472392.0613,696052.9999,616329.7572,256942.0233,783133.9854,551116.4123,1556980.958,757730.4235,914953.9203,726613.8244,1019308.483,874796.924,686886.2134,641951.5006,542975.1589,1378102.58,597288.7102
Cer_ADS.d16:0_24:0_1__Np,Cer_ADS d16:0_24:0_1,C40 H81 N O4,Negative Phase,639.6167,10.99,23030687.64,22615427.86,19889747.54,6967174.412,9446063.508,8569651.998,10722925.75,17661837.22,15210750.04,33024970.17,9533889.692,14774691.43,7976839.299,7779344.678,11259006.5,9797268.315,25135414.27,11911014.09,19900913.12,17061920.41,21667678.95,11688115.74,13284884.28,8855402.304,21899653.32,17735900.37,11505800.44
Cer_ADS.d17:0_16:0__Np,Cer_ADS d17:0_16:0,C33 H67 N O4,Negative Phase,541.5074,7.87,52637204.15,36102902.84,34292675.4,18182354.14,29748366.85,29230916.46,19057880.58,49220995.06,31023937.51,61858612.6,16544481.98,37507854.68,25535683.51,24490431.32,33035570.58,19493892.52,60376400.27,31625360.99,36407788.06,25970190.05,48805650.69,33069900.16,29574662.9,21993237.36,59155456.66,51432676.49,21591316.37
Cer_ADS.d18:0_16:0__Np,Cer_ADS d18:0_16:0,C34 H69 N O4,Negative Phase,555.5229,8.33,52878807.12,55588979.04,46255088.62,20368885.21,27038099.11,24711299.26,28447374.28,42296195.75,37320762.22,70767714.39,28745515.74,34252718.83,21355009.36,26245929.24,30967932.63,25491770.29,52962915.35,27697052.4,44016212.15,41711197.59,45622643.7,38088555.32,38529741.38,25856838.59,64755330.53,52065371.37,32027765.82
Cer_ADS.d19:0_16:0__Np,Cer_ADS d19:0_16:0,C35 H71 N O4,Negative Phase,569.5382,8.83,8360726.481,8126891.009,8195376.744,3274910.187,5349088.162,4691982.376,4286043.226,8013120.841,6457261.315,12650436.26,3474147.867,5376888.721,4200339.591,4277357.816,5603521.661,4238055.966,9853157.467,4836318.332,7929371.108,5257885.563,7210356.51,5947361.571,6549834.689,4578894.513,11986221.52,9411957.755,4212947.461
Cer_ADS.d20:0_22:0__Np,Cer_ADS d20:0_22:0,C42 H85 N O4,Negative Phase,667.6475,10.86,1000649.983,865505.1183,983385.3737,355202.8357,683738.076,563678.1391,598931.4715,1095205.959,947167.4501,1559612.348,384522.8777,760043.4545,626455.9141,546049.2832,672666.1469,518687.6137,1425428.332,771542.5256,990706.5422,584773.613,1026251.036,750437.154,915359.9335,573892.6609,738253.4663,1175012.396,478294.6397
Cer_ADS.d20:0_24:0__Np,Cer_ADS d20:0_24:0,C44 H89 N O4,Negative Phase,695.6786,11.63,1391807.57,1012619.992,1343994.904,385559.8373,1141352.471,770116.5026,811715.3371,1384504.103,463465.0479,1779473.303,537538.3271,862828.083,284670.3087,1195045.348,927770.5501,720750.6014,807773.0594,1047265.05,899598.0584,979652.6873,1174527.307,1357492.556,1382559.649,1186984.279,2157748.268,1704860.276,855845.3208
Cer_ADS.d22:0_14:0__Np,Cer_ADS d22:0_14:0,C36 H73 N O4,Negative Phase,583.5537,8.17,818321.6942,729987.3483,771906.2485,236391.2428,357228.0782,292000.2714,246376.1667,556495.8984,464308.861,1175473.162,200590.2866,387942.6024,214388.961,261889.7091,349623.2423,250429.1997,780470.2698,378885.7324,457845.1009,371433.1824,644265.1188,323735.6232,308938.4433,254936.3791,794436.7961,504825.87,220985.502
Cer_ADS.d22:0_16:0__Np,Cer_ADS d22:0_16:0,C38 H77 N O4,Negative Phase,611.5854,10.16,21280744.29,21235264.58,19551311.65,7814292.633,10855203.59,9212887.935,10251451.53,17209647.53,14835933.73,30299249.01,8622754.042,13030555.53,8602038.349,9454690.004,11753192.89,9323321.783,23546449.63,11259192.63,18897061.23,15190845.36,20001703.63,12679108.67,14192438.24,8817254.894,23349174.89,17604476.98,10646801.27
Cer_ADS.d23:0_13:0__Np,Cer_ADS d23:0_13:0,C36 H73 N O4,Negative Phase,583.5539,8.77,6235813.029,5921705.747,5600388.435,2029135.48,3738544.385,3324457.336,3020403.961,5558018.233,4721706.229,9768858.996,2291722.39,4569797.101,2948746.719,2796734.395,3767588.06,3106038.35,7601663.603,4121323.855,5201630.452,4051331.188,5626894.817,3823592.699,3094709.524,2221087.744,6515208.644,5487762.436,2024595.358
