Sample,Replicate,Pig ,Treatment,Time,Timepoint,TxTime,CFUmedia,Count ,Dilution ,CFU ,LogCFU,Notes
P2_W12.3,W12.3,P2,Water,12 hr,12,Water 12 hr,TSA,41,1.00E-05,3.18E+07,7.502085573,
P2_C12.1,C12.1,P2,Chloraprep,12 hr,12,Chloraprep 12 hr,TSA,10,1.00E-01,7.75E+02,2.889861721,Reduced grwoth seen in the 0 dilution - sugesting that the higher concentration of CHG prevented growht on the plate in this group. 
P2_C12.2,C12.2,P2,Chloraprep,12 hr,12,Chloraprep 12 hr,TSA,2,1.00E+00,1.55E+01,1.217483944,Reduced grwoth seen in the 0 dilution - sugesting that the higher concentration of CHG prevented growht on the plate in this group. 
P2_C12.3,C12.3,P2,Chloraprep,12 hr,12,Chloraprep 12 hr,TSA,2,1.00E+00,1.55E+01,1.217483944,Reduced grwoth seen in the 0 dilution - sugesting that the higher concentration of CHG prevented growht on the plate in this group. 
P2_F12.1,F12.1,P2,Full,12 hr,12,Full 12 hr,TSA,0,1.00E+00,0.00E+00,0,
P2_F12.2,F12.2,P2,Full,12 hr,12,Full 12 hr,TSA,0,1.00E+00,0.00E+00,0,
P2_F12.3,F12.3,P2,Full,12 hr,12,Full 12 hr,TSA,0,1.00E+00,0.00E+00,0,
P2_W24.1,W24.1,P2,Water,24 hr,24,Water 24 hr,TSA,6,1.00E-06,4.65E+07,7.667452962,
P2_W24.2,W24.2,P2,Water,24 hr,24,Water 24 hr,TSA,18,1.00E-06,1.40E+08,8.144574211,
P2_W24.3,W24.3,P2,Water,24 hr,24,Water 24 hr,TSA,11,1.00E-06,8.53E+07,7.930694393,
P2_C24.1,C24.1,P2,Chloraprep,24 hr,24,Chloraprep 24 hr,TSA,2,1.00E+00,1.55E+01,1.217483944,
P2_C24.2,C24.2,P2,Chloraprep,24 hr,24,Chloraprep 24 hr,TSA,2,1.00E-02,1.55E+03,3.190611798,Reduced grwoth seen in the 0 dilution - sugesting that the higher concentration of CHG prevented growht on the plate in this group. 
P2_C24.3,C24.3,P2,Chloraprep,24 hr,24,Chloraprep 24 hr,TSA,1,1.00E+00,7.75E+00,0.942008053,Reduced grwoth seen in the 0 dilution - sugesting that the higher concentration of CHG prevented growht on the plate in this group. 
P2_F24.1,F24.1,P2,Full,24 hr,24,Full 24 hr,TSA,0,1.00E+00,0.00E+00,0,
P2_F24.2,F24.2,P2,Full,24 hr,24,Full 24 hr,TSA,3,1.00E+00,2.33E+01,1.384711743,
P2_F24.3,F24.3,P2,Full,24 hr,24,Full 24 hr,TSA,0,1.00E+00,0.00E+00,0,
P2_W48.1,W48.1,P2,Water,48 hr,48,Water 48 hr,TSA,12,1.00E-07,9.30E+08,8.968482949,
P2_W48.2,W48.2,P2,Water,48 hr,48,Water 48 hr,TSA,9,1.00E-07,6.98E+08,8.843544213,
P2_W48.3,W48.3,P2,Water,48 hr,48,Water 48 hr,TSA,5,1.00E-07,3.88E+08,8.588271708,
P2_C48.1,C48.1,P2,Chloraprep,48 hr,48,Chloraprep 48 hr,TSA,58,1.00E-03,4.50E+05,5.652730662,
P2_C48.2,C48.2,P2,Chloraprep,48 hr,48,Chloraprep 48 hr,TSA,12,1.00E-03,9.30E+04,4.968487618,No grwoth seen in the 0 dilution - sugesting that the higher concentration of CHG prevented growht on the plate in this group. 
P2_C48.3,C48.3,P2,Chloraprep,48 hr,48,Chloraprep 48 hr,TSA,20,1.00E-03,1.55E+05,5.1903345,Reduced grwoth seen in the 0 dilution - sugesting that the higher concentration of CHG prevented growht on the plate in this group. 
P2_F48.1,F48.1,P2,Full,48 hr,48,Full 48 hr,TSA,0,1.00E+00,0.00E+00,0,
P2_F48.2,F48.2,P2,Full,48 hr,48,Full 48 hr,TSA,13,1.00E-01,1.01E+03,3.003675903,
P3_F48.3,F48.3,P3,Full,48 hr,48,Full 48 hr,TSA,1,1.00E+00,7.75E+00,0.942008053,
P3_WB.1,WB.1,P3,Water,Baseline,-12,Water Baseline,TSA,36,1.00E-02,2.79E+04,4.445619769,
P3_WB.2,WB.2,P3,Water,Baseline,-12,Water Baseline,TSA,13,1.00E-03,1.01E+05,5.003249365,
P3_CB.1,CB.1,P3,Chloraprep,Baseline,-12,Chloraprep Baseline,TSA,9,1.00E-03,6.98E+04,4.843550438,
P3_CB.2,CB.2,P3,Chloraprep,Baseline,-12,Chloraprep Baseline,TSA,49,1.00E-02,3.80E+04,4.579509219,
P3_FB.1,FB.1,P3,Full,Baseline,-12,Full Baseline,TSA,51,1.00E-02,3.95E+04,4.596882866,
P3_FB.2,FB.2,P3,Full,Baseline,-12,Full Baseline,TSA,9,1.00E-03,6.98E+04,4.843550438,
P3_W0.1,W0.1,P3,Water,PostBath,0,Water PostBath,TSA,30,1.00E-04,2.33E+06,6.366423144,
P3_W0.2,W0.2,P3,Water,PostBath,0,Water PostBath,TSA,24,1.00E-03,1.86E+05,5.269515279,
P3_W0.3,W0.3,P3,Water,PostBath,0,Water PostBath,TSA,44,1.00E-03,3.41E+05,5.532755653,
P3_C0.1,C0.1,P3,Chloraprep,PostBath,0,Chloraprep PostBath,TSA,1,1.00E+00,7.75E+00,0.942008053,
P3_C0.2,C0.2,P3,Chloraprep,PostBath,0,Chloraprep PostBath,TSA,0,1.00E+00,0.00E+00,0,
P3_C0.3,C0.3,P3,Chloraprep,PostBath,0,Chloraprep PostBath,TSA,0,1.00E+00,0.00E+00,0,
P3_F0.1,F0.1,P3,Full,PostBath,0,Full PostBath,TSA,0,1.00E+00,0.00E+00,0,
P3_F0.2,F0.2,P3,Full,PostBath,0,Full PostBath,TSA,0,1.00E+00,0.00E+00,0,
P3_F0.3,F0.3,P3,Full,PostBath,0,Full PostBath,TSA,0,1.00E+00,0.00E+00,0,
P3_W06.1,W06.1,P3,Water,6 hr,6,Water 6 hr,TSA,53,1.00E-04,4.11E+06,6.613577678,
P3_W06.2,W06.2,P3,Water,6 hr,6,Water 6 hr,TSA,22,1.00E-03,1.71E+05,5.231726931,
P3_W06.3,W06.3,P3,Water,6 hr,6,Water 6 hr,TSA,40,1.00E-04,3.10E+06,6.491361834,
P3_C06.1,C06.1,P3,Chloraprep,6 hr,6,Chloraprep 6 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_C06.2,C06.2,P3,Chloraprep,6 hr,6,Chloraprep 6 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_C06.3,C06.3,P3,Chloraprep,6 hr,6,Chloraprep 6 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_F06.1,F06.1,P3,Full,6 hr,6,Full 6 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_F06.2,F06.2,P3,Full,6 hr,6,Full 6 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_F06.3,F06.3,P3,Full,6 hr,6,Full 6 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_W12.1,W12.1,P3,Water,12 hr,12,Water 12 hr,TSA,28,1.00E-05,2.17E+07,7.336459754,
P3_W12.2,W12.2,P3,Water,12 hr,12,Water 12 hr,TSA,25,1.00E-04,1.94E+06,6.287241935,
P3_W12.3,W12.3,P3,Water,12 hr,12,Water 12 hr,TSA,15,1.00E-04,1.16E+06,6.065393335,
P3_C12.1,C12.1,P3,Chloraprep,12 hr,12,Chloraprep 12 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_C12.2,C12.2,P3,Chloraprep,12 hr,12,Chloraprep 12 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_C12.3,C12.3,P3,Chloraprep,12 hr,12,Chloraprep 12 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_F12.1,F12.1,P3,Full,12 hr,12,Full 12 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_F12.2,F12.2,P3,Full,12 hr,12,Full 12 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_F12.3,F12.3,P3,Full,12 hr,12,Full 12 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_W24.1,W24.1,P3,Water,24 hr,24,Water 24 hr,TSA,24,1.00E-05,1.86E+07,7.269512968,
P3_W24.2,W24.2,P3,Water,24 hr,24,Water 24 hr,TSA,17,1.00E-06,1.32E+08,8.119750627,
P3_W24.3,W24.3,P3,Water,24 hr,24,Water 24 hr,TSA,9,1.00E-06,6.98E+07,7.843544218,
P3_C24.1,C24.1,P3,Chloraprep,24 hr,24,Chloraprep 24 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_C24.2,C24.2,P3,Chloraprep,24 hr,24,Chloraprep 24 hr,TSA,11,1.00E+00,8.53E+01,1.935759104,
P3_C24.3,C24.3,P3,Chloraprep,24 hr,24,Chloraprep 24 hr,TSA,3,1.00E+00,2.33E+01,1.384711743,
P3_F24.1,F24.1,P3,Full,24 hr,24,Full 24 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_F24.2,F24.2,P3,Full,24 hr,24,Full 24 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_F24.3,F24.3,P3,Full,24 hr,24,Full 24 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_W48.1,W48.1,P3,Water,48 hr,48,Water 48 hr,TSA,28,1.00E-06,2.17E+08,8.336459736,
P3_W48.2,W48.2,P3,Water,48 hr,48,Water 48 hr,TSA,21,1.00E-06,1.63E+08,8.211521,
