CompoundID,P2_ChloraPrep_EndPoint.1,P2_ChloraPrep_EndPoint.2,P2_ChloraPrep_EndPoint.3,P2_ChloraPrep_Baseline.1,P2_ChloraPrep_Baseline.2,P2_ChloraPrep_Baseline.3,P2_ChloraPrep_PostIntervention.1,P2_ChloraPrep_PostIntervention.2,P2_ChloraPrep_PostIntervention.3,P2_FullSurgicalPrep_EndPoint.1,P2_FullSurgicalPrep_EndPoint.2,P2_FullSurgicalPrep_EndPoint.3,P2_FullSurgicalPrep_Baseline.1,P2_FullSurgicalPrep_Baseline.2,P2_FullSurgicalPrep_Baseline.3,P2_FullSurgicalPrep_PostIntervention.1,P2_FullSurgicalPrep_PostIntervention.2,P2_FullSurgicalPrep_PostIntervention.3,P2_Water_EndPoint.1,P2_Water_EndPoint.2,P2_Water_EndPoint.3,P2_Water_Baseline.1,P2_Water_Baseline.2,P2_Water_Baseline.3,P2_Water_PostIntervention.1,P2_Water_PostIntervention.2,P2_Water_PostIntervention.3
Cer_ADS.d16:0_14:0__Np,0.000373908,0.000315321,0.000430014,0.000269231,0.000222028,0.000284488,0.000242592,0.000342338,0.000343196,0.000345339,0.000232394,0.00038133,0.000278838,0.000189479,0.000320538,0.000274208,0.000400699,0.000269998,0.000301146,0.000205254,0.000327408,0.000199359,0.000226306,0.000164988,0.000380828,0.000315858,0.000310512
Cer_ADS.d16:0_16:0__Np,0.007475687,0.006208614,0.008179406,0.005368334,0.004623802,0.005570293,0.005088114,0.006989387,0.006415936,0.006737132,0.005409092,0.007300103,0.005674642,0.004235028,0.006807069,0.005318749,0.007314196,0.005279111,0.007200756,0.005795666,0.007746532,0.004776679,0.005425514,0.003819597,0.007525724,0.006121189,0.006419997
Cer_ADS.d16:0_24:0__Np,0.000327109,0.000279071,0.00042094,0.000278692,0.000328311,0.000306056,0.000129932,0.000433336,0.000403619,0.000355679,0.000283483,0.000366137,0.000342,0.000106255,0.000394941,0.000316295,0.000508315,0.000359224,0.000365158,0.000301246,0.000400702,0.000288164,0.000299071,0.000265456,0.000185066,0.000498603,0.000408336
Cer_ADS.d16:0_24:0_1__Np,0.008393005,0.007032673,0.008500775,0.004316972,0.00370677,0.004202481,0.005407454,0.00725055,0.006226254,0.007709239,0.005721302,0.007771762,0.004426336,0.003217058,0.00567801,0.005622817,0.008206073,0.005646753,0.007942447,0.007073685,0.008517806,0.003850141,0.005784259,0.003661837,0.007464194,0.006416914,0.007865926
Cer_ADS.d17:0_16:0__Np,0.01918242,0.011226845,0.014656512,0.011266076,0.011673682,0.01433458,0.009610681,0.020206237,0.012699106,0.014440069,0.00992837,0.019729828,0.014169712,0.010127733,0.016660112,0.011187873,0.019711359,0.014992895,0.014530335,0.010766956,0.019186045,0.01089344,0.012876854,0.009094523,0.02016232,0.018608532,0.014760876
Cer_ADS.d18:0_16:0__Np,0.019270467,0.01728639,0.019769186,0.012620886,0.010610135,0.0121182,0.014345699,0.017363464,0.015276601,0.01651978,0.017250229,0.018017566,0.011849862,0.010853699,0.015617385,0.014630156,0.017291045,0.01313057,0.017566854,0.017293006,0.017934769,0.012546618,0.016775909,0.010692178,0.02207096,0.018837443,0.021895742
Cer_ADS.d19:0_16:0__Np,0.003046875,0.002527202,0.003502662,0.002029187,0.002099058,0.002300906,0.002161405,0.003289552,0.002643167,0.002953076,0.002084842,0.002828343,0.002330762,0.001768852,0.002825902,0.002432292,0.003216805,0.002292793,0.003164609,0.002179862,0.002834471,0.0019591,0.002851808,0.001893439,0.004085338,0.003405281,0.002880176
Cer_ADS.d20:0_22:0__Np,0.000364664,0.000269144,0.000420294,0.000220089,0.000268309,0.000276423,0.000302035,0.000449605,0.000387706,0.000364071,0.000230753,0.000399797,0.000347619,0.000225812,0.000339231,0.000297684,0.000465366,0.000365772,0.000395391,0.000242441,0.000403431,0.000247199,0.000398549,0.000237313,0.000251623,0.000425124,0.000326986
Cer_ADS.d20:0_24:0__Np,0.000507212,0.000314892,0.000574416,0.000238899,0.000447883,0.000377658,0.000409339,0.000568368,0.000189711,0.000415394,0.000322578,0.000453864,0.000157963,0.000494197,0.000467882,0.000413651,0.000263717,0.000496486,0.000359029,0.000406153,0.00046172,0.000447167,0.000601969,0.000490835,0.000735439,0.000616825,0.000585098
Cer_ADS.d22:0_14:0__Np,0.000298219,0.000227003,0.000329909,0.000146472,0.000140181,0.000143194,0.000124245,0.000228453,0.000190057,0.000274399,0.000120375,0.000204065,0.000118964,0.000108301,0.000176318,0.000143726,0.000254804,0.000179621,0.000182726,0.000153992,0.000253268,0.000106641,0.000134512,0.00010542,0.000270773,0.000182648,0.000151076
Cer_ADS.d22:0_16:0__Np,0.007755278,0.006603486,0.008356129,0.00484186,0.004259736,0.004517918,0.005169695,0.007064916,0.00607283,0.007072956,0.005174528,0.006854314,0.004773258,0.003909877,0.005927233,0.005350811,0.007687317,0.005337738,0.00754181,0.006297958,0.007862892,0.004176581,0.006179409,0.003646063,0.007958244,0.006369365,0.007278672
Cer_ADS.d23:0_13:0__Np,0.002272499,0.001841461,0.002393577,0.001257285,0.001467058,0.001630284,0.001523157,0.002281681,0.001932748,0.00228041,0.001375266,0.002403798,0.001636255,0.001156557,0.001900026,0.001782608,0.00248175,0.00195383,0.002075969,0.001679638,0.002211995,0.001259516,0.001347441,0.000918452,0.002220619,0.001985493,0.001384112
Cer_ADS.d26:0_13:0__Np,0.000228514,0.000113848,0.00015422,1.28E-05,8.53E-05,0.000166253,2.44E-05,0.000136576,2.73E-05,0.000223946,2.55E-05,0.000242145,3.03E-05,0,2.52E-05,4.56E-05,0.000434069,0.000129491,4.75E-05,7.60E-05,0.000205866,0.000258001,0.00033316,0.000145792,3.64E-05,0.000205087,0.000108067
Cer_ADS.d26:0_15:1__Np,0.000294685,0.00026378,0.000289594,0.000144676,0.000188751,0.000153458,0.000144278,0.000209921,0.000204301,0.000132526,0.000131702,0.000169164,0.000156901,0.00015741,0.000157492,0.00014838,0.00025726,0.000221717,0.000267533,0.000293685,0.000195466,0.000202105,0.000273565,0.000141009,0.000376227,0.000269358,0.000255956
Cer_ADS.d30:0__Np,0.000373931,0.000315321,0.000429849,0.000269231,0.000222028,0.000284488,0.000242592,0.000342338,0.000343212,0.000345339,0.000232394,0.00038133,0.000278838,0.000189479,0.000320538,0.000274208,0.000401031,0.000269998,0.000301146,0.000208059,0.000328234,0.000196894,0.000226306,0.000164988,0.000380442,0.000315858,0.000310512
Cer_ADS.d30:0_22:1__Np,0.000908587,0.001048057,0.001433779,0.000387732,0.000565348,0.000698927,0.000853492,0.001219579,0.001196465,0.001164646,0.000627346,0.001033253,0.000747295,0.000385742,0.000897801,0.001037284,0.001280741,0.001022827,0.001254353,0.001022785,0.001294828,0.000479585,0.000716344,0.000305045,0.001331382,0.001206479,0.000701911
Cer_ADS.d31:0__Np,0.005871336,0.00464144,0.006326063,0.004497255,0.004050582,0.0051464,0.00384072,0.005256052,0.005114991,0.005281887,0.003658862,0.005331985,0.003959666,0.003721761,0.005781191,0.00405656,0.005633871,0.003875633,0.005722909,0.004503778,0.005658853,0.003118673,0.003657726,0.002995256,0.005243591,0.004778913,0.005582511
Cer_ADS.d31:0_1__Np,0.005871336,0.00464144,0.006326063,0.004497255,0.004050582,0.0051464,0.00384072,0.005256902,0.005114991,0.005281887,0.003658862,0.005331985,0.003959666,0.003721761,0.005781191,0.00405656,0.005633871,0.003875633,0.005722909,0.004503778,0.005658853,0.003118673,0.003657726,0.002995256,0.005243591,0.004778913,0.005582511
Cer_ADS.d32:0__Np,0.007475687,0.006208614,0.008179406,0.005368334,0.004623802,0.005570293,0.005086518,0.006989387,0.006415936,0.006737132,0.005409092,0.007300103,0.005674642,0.004235028,0.006807069,0.005318749,0.007315461,0.005279111,0.007200756,0.005795666,0.007746532,0.004776679,0.005427001,0.003819597,0.007525724,0.006121189,0.006419997
Cer_ADS.d33:0__Np,0.01918242,0.011226845,0.014656512,0.011266076,0.011673682,0.01433458,0.009610681,0.020206237,0.012699106,0.014440069,0.00992837,0.019729828,0.014169712,0.010127733,0.016660112,0.011187873,0.019711359,0.014992895,0.014530335,0.010766956,0.019186045,0.01089344,0.012876854,0.009094523,0.02016232,0.018608532,0.014760876
Cer_ADS.d33:1__Np,0.016244783,0.013218397,0.017351672,0.012462161,0.011488386,0.012414222,0.01070027,0.016256971,0.014417149,0.014953259,0.011214119,0.0140336,0.013237897,0.010032455,0.014775633,0.011160879,0.016181124,0.011270881,0.015172961,0.011594356,0.016268336,0.0115582,0.014735546,0.009457101,0.019936648,0.016179452,0.014970307
Cer_ADS.d34:1__Np,0.012014102,0.010227035,0.013196932,0.009196695,0.009664594,0.009547323,0.008879757,0.016261648,0.01150164,0.011747763,0.010539795,0.011459492,0.010455534,0.007567588,0.011221835,0.00876914,0.013625878,0.009490354,0.012628117,0.009662633,0.01114303,0.011404178,0.016203205,0.010438153,0.021638102,0.019535203,0.014075321
Cer_ADS.d36:0__Np,0.011164764,0.009906532,0.011940755,0.007548097,0.006536924,0.006639805,0.007054477,0.00974099,0.008521399,0.009898482,0.007977819,0.010382325,0.006953644,0.005634839,0.008600896,0.007532244,0.009982349,0.006942466,0.011114288,0.009193733,0.011404822,0.00600934,0.009074334,0.005401615,0.01256245,0.009743147,0.010720754
Cer_ADS.d37:0__Np,0.005249241,0.004159447,0.00575174,0.002870173,0.002846491,0.003153546,0.003321278,0.004565516,0.004283414,0.005239631,0.002685388,0.004167709,0.003099401,0.002277192,0.003920655,0.003493229,0.005438445,0.003658344,0.004002361,0.003234087,0.004541133,0.002385624,0.003244565,0.002000321,0.004497607,0.00364504,0.003354623
Cer_ADS.d37:0_1__Np,0.005661927,0.005590968,0.006636575,0.003572837,0.003666729,0.00365888,0.003648819,0.005261241,0.00470762,0.006474387,0.003470494,0.0051092,0.003519391,0.003499376,0.004464944,0.003365602,0.004559065,0.00357536,0.005621898,0.004345332,0.004885932,0.003677533,0.004583105,0.003240472,0.006468666,0.005035314,0.004444627
Cer_ADS.d37:0_2__Np,0.000154163,0.000174917,0.000197515,8.05E-05,6.08E-05,0.000104846,5.84E-05,6.75E-05,9.96E-05,7.98E-05,0.000126448,7.74E-05,8.05E-05,7.15E-05,5.93E-05,5.97E-05,0.000150463,7.20E-05,0.000174684,6.31E-05,7.99E-05,3.45E-05,9.94E-05,4.72E-05,9.82E-05,6.84E-05,0.000102556
Cer_ADS.d38:0__Np,0.008455913,0.007361271,0.00931833,0.003885647,0.004500377,0.004810201,0.004926895,0.007262581,0.006350287,0.008258651,0.004454763,0.007274421,0.004705068,0.003959818,0.005987264,0.005358435,0.007706446,0.005443714,0.006631835,0.005604542,0.006889407,0.004401003,0.005607395,0.003770673,0.007253545,0.006248675,0.004927033
Cer_ADS.d38:0_1__Np,0.000169472,0.000192725,0.000205234,6.81E-05,0.000123676,0.000110147,0.000108455,0.000121578,0.000134787,0.000258028,7.97E-05,0.000150222,0.000139412,0.00012818,0.000136241,0.000125744,4.19E-05,4.84E-05,0.000129738,0.000105733,0.00012578,0.000122802,9.81E-05,0.000129103,0.000203013,0.000146003,0.000209642
Cer_ADS.d38:1__Np,0.001710458,0.001947228,0.002106575,0.001130605,0.001225625,0.001021056,0.0013002,0.001822708,0.001476672,0.002854494,0.001058146,0.001429035,0.001054696,0.001315929,0.001181991,0.00071738,0.001179486,0.000953286,0.001437697,0.001200665,0.000986872,0.001792612,0.002493112,0.001923033,0.002722721,0.00242134,0.001955742
Cer_ADS.d39:0__Np,0.004278171,0.003185756,0.004431867,0.001970741,0.002050872,0.002220488,0.00235069,0.003341126,0.003073717,0.00374765,0.001970756,0.003525413,0.002175601,0.001653789,0.00272416,0.002683049,0.004482901,0.00285582,0.003240546,0.002746208,0.003850401,0.001814522,0.002459488,0.001577739,0.002697476,0.002360834,0.00195248
Cer_ADS.d39:0_1__Np,0.003404871,0.002864703,0.004017688,0.001869014,0.002105594,0.002223524,0.002303295,0.00347302,0.002854875,0.003451624,0.002088372,0.003414945,0.002510624,0.001855409,0.002749631,0.002408823,0.003628735,0.002649606,0.003478632,0.002633229,0.003281656,0.002226905,0.00269009,0.001957525,0.003488535,0.003231199,0.002261364
Cer_ADS.d40:0__Np,0.008109854,0.006490775,0.008439896,0.003422517,0.004374294,0.004247724,0.004362671,0.007301491,0.005977458,0.007490264,0.004348686,0.007204254,0.004909563,0.003298388,0.005724075,0.005221547,0.008379034,0.005669327,0.00640325,0.005340986,0.007062481,0.004591883,0.00592802,0.004051619,0.007157976,0.007234675,0.003894373
Cer_ADS.d40:1__Np,0.001937414,0.001953834,0.002360345,0.001294417,0.00143595,0.001358815,0.001199988,0.002063717,0.001658863,0.002127782,0.001002989,0.001744055,0.001436454,0.001258999,0.001457369,0.001163778,0.001825367,0.001352042,0.001994147,0.001509406,0.001981881,0.001419928,0.001769108,0.001301393,0.002621107,0.002215678,0.001803833
Cer_ADS.d40:1_1__Np,0.000960994,0.000846957,0.001253499,0.000806108,0.001001356,0.000793245,0.000797172,0.001958972,0.000903059,0.001326878,0.000790694,0.000921582,0.001093169,0.000689883,0.000953637,0.000640997,0.001717213,0.000894632,0.000871849,0.000585853,0.000755063,0.001696286,0.002668603,0.001849278,0.002787224,0.002796605,0.001121864
Cer_ADS.d41:0__Np,0.006211251,0.004513705,0.005942433,0.0022488,0.00214755,0.002794556,0.003095079,0.004601968,0.004117047,0.005310645,0.003241273,0.004965129,0.002694642,0.001742743,0.003480127,0.00387217,0.006191864,0.003781908,0.004710373,0.00378756,0.005656734,0.001947296,0.003135735,0.001862867,0.003928126,0.003796264,0.002448304
Cer_ADS.d41:0_1__Np,0.000648028,0.000220982,0.000467761,4.18E-05,0.000192321,0.000527991,0.000328786,0.00062616,0.000193499,0.000544352,0.000384509,0.000177332,0.000719461,0.00015497,0.000427834,0.000491245,0.000662217,0.000304846,0.000684485,0.000384134,0.000521847,0.000249406,0.000799495,0.000286616,0.000809005,0.001041791,0.00013536
Cer_ADS.d41:0_2__Np,0.003667531,0.002838425,0.003742551,0.001681538,0.001905912,0.002141213,0.002304165,0.003289982,0.002827946,0.003207305,0.002438763,0.00355199,0.002300157,0.001624102,0.002661688,0.002687241,0.003776563,0.00274778,0.003585561,0.002746796,0.003509571,0.001998289,0.002559022,0.001739533,0.003217357,0.003200634,0.002406963
Cer_ADS.d41:1__Np,0.000355292,0.000299318,0.000395736,0.000169295,0.000138491,0.000197232,0.000254414,0.000331898,0.000258967,0.000332477,0.000210641,0.000318402,0.000272266,0.000162,0.000301864,0.000224699,0.000357143,0.000253618,0.000293554,0.000235161,0.000389938,0.000193812,0.000328902,0.000242346,0.000278855,0.00046974,0.000267918
Cer_ADS.d42:0__Np,0.010815582,0.008089206,0.010208312,0.003481423,0.004469905,0.004912937,0.005329305,0.008745002,0.007716364,0.009505247,0.005879083,0.00962224,0.005199343,0.003895621,0.006414558,0.006687067,0.010192967,0.007104016,0.00822571,0.006577827,0.009486546,0.004499828,0.005363363,0.003602046,0.007484732,0.0073234,0.004282098
Cer_ADS.d42:1__Np,0.002547685,0.002166731,0.002794675,0.001585303,0.002011404,0.001741353,0.001537267,0.002757428,0.002110642,0.002383712,0.001661202,0.002172675,0.002178784,0.001540401,0.002149489,0.001645618,0.002621341,0.001863598,0.002527801,0.001896094,0.002432269,0.002107832,0.00294026,0.002000767,0.00369521,0.003733792,0.002306621
Cer_ADS.d43:0__Np,0.000139762,0.000600559,0.000656082,3.00E-05,8.96E-05,0.000247513,0.000282876,0.000379653,0.000458695,0.000191493,0.000127526,4.90E-05,0.000202989,8.59E-05,9.00E-05,0,0.000664273,0.000455146,0.000284368,0.000352522,0.000238785,0.00012337,0.000445289,0.000145867,0.000258516,0.000617636,0.000445963
Cer_ADS.d44:0__Np,0.011585791,0.008628559,0.011847488,0.003787086,0.005048347,0.005274221,0.006202845,0.009588305,0.008441846,0.010063363,0.006044608,0.010295919,0.005134784,0.004544958,0.006797832,0.007258108,0.010751449,0.00758441,0.009191911,0.007836041,0.010569355,0.004992325,0.006118644,0.004270672,0.008515158,0.007936384,0.004987122
Cer_ADS.d44:0_1__Np,0.008556589,0.006646258,0.008854113,0.003587282,0.003568819,0.003707096,0.004547638,0.006955757,0.005769397,0.00781297,0.004441972,0.007863657,0.004044827,0.003362044,0.005452235,0.005418048,0.00775585,0.005221565,0.007897172,0.006344249,0.009327839,0.003644701,0.005220299,0.003199455,0.006971151,0.006587898,0.004169339
Cer_ADS.d45:0__Np,0.007079375,0.005037068,0.006584846,0.002460783,0.002679616,0.003067712,0.003931188,0.005027499,0.004980665,0.00591181,0.002547057,0.005952573,0.003144278,0.002836274,0.003720295,0.004514449,0.006789955,0.003898945,0.005234251,0.004331055,0.006163954,0.002979483,0.003316987,0.002417663,0.003930781,0.00407968,0.002540331
Cer_ADS.d45:1__Np,0.001189758,0.000928183,0.001191317,0.000593794,0.000715609,0.000660828,0.000708986,0.001072647,0.000973982,0.000976259,0.000537725,0.000862902,0.000731968,0.000805542,0.000786119,0.000671831,0.001095249,0.000790326,0.001102697,0.00079251,0.001206175,0.000573956,0.000838946,0.000646312,0.001542289,0.001158251,0.001095181
Cer_ADS.d46:0__Np,0.013898415,0.011817709,0.014216138,0.005061826,0.006779749,0.006710128,0.008465683,0.011890632,0.010695724,0.012848158,0.008230057,0.012805889,0.007222498,0.00594896,0.009314222,0.010268531,0.013287462,0.009204402,0.01157836,0.011475521,0.012953712,0.006450012,0.007115996,0.00532968,0.010073844,0.010510882,0.005683172
