CompoundID,P2_ChloraPrep_EndPoint.1,P2_ChloraPrep_EndPoint.2,P2_ChloraPrep_EndPoint.3,P2_ChloraPrep_Baseline.1,P2_ChloraPrep_Baseline.2,P2_ChloraPrep_Baseline.3,P2_ChloraPrep_PostIntervention.1,P2_ChloraPrep_PostIntervention.2,P2_ChloraPrep_PostIntervention.3,P2_FullSurgicalPrep_EndPoint.1,P2_FullSurgicalPrep_EndPoint.2,P2_FullSurgicalPrep_EndPoint.3,P2_FullSurgicalPrep_Baseline.1,P2_FullSurgicalPrep_Baseline.2,P2_FullSurgicalPrep_Baseline.3,P2_FullSurgicalPrep_PostIntervention.1,P2_FullSurgicalPrep_PostIntervention.2,P2_FullSurgicalPrep_PostIntervention.3,P2_Water_EndPoint.1,P2_Water_EndPoint.2,P2_Water_EndPoint.3,P2_Water_Baseline.1,P2_Water_Baseline.2,P2_Water_Baseline.3,P2_Water_PostIntervention.1,P2_Water_PostIntervention.2,P2_Water_PostIntervention.3
Cer_ADS.d47:0__Np,0.004877679,0.004097439,0.00488346,0.002051469,0.002660587,0.002899813,0.003642028,0.004424068,0.004558331,0.004942413,0.002937142,0.005054841,0.002824195,0.001964122,0.004025434,0.004315254,0.005262384,0.004388192,0.004003441,0.003844253,0.004908481,0.002384826,0.002742005,0.001811613,0.003052331,0.003430142,0.002026805
Cer_ADS.d47:0_1__Np,0.003907868,0.002997596,0.003813517,0.001490326,0.0012785,0.00194968,0.002039851,0.002346986,0.003112639,0.003901859,0.002440164,0.00429911,0.001975649,0.00092713,0.002328296,0.003073415,0.004193169,0.002732274,0.003844806,0.002428921,0.003542069,0.001170327,0.002077646,0.001199241,0.003087103,0.003267397,0.001514429
Cer_ADS.d47:1__Np,0.000341581,0.000270476,0.000322813,0.000153287,0.000119095,0.000174167,0.000192522,0.000258073,0.000225906,0.000281469,0.000183339,0.000306258,0.000145363,0.0001096,0.000204531,0.000214255,0.000324198,0.000204068,0.000653724,0.000646917,0.000654494,0.00010486,0.000137127,8.29E-05,0.000194266,0.00017136,0.000147032
Cer_ADS.d48:0__Np,0.008389947,0.006826603,0.008267682,0.002985621,0.003576381,0.004060172,0.005264067,0.007356052,0.006749908,0.007492607,0.005363602,0.008531628,0.003991858,0.002774818,0.005450233,0.006203015,0.008648354,0.005705416,0.007242288,0.006894407,0.007581579,0.003108266,0.004558833,0.002643582,0.006724869,0.006084993,0.003359918
Cer_ADS.d49:0__Np,0.002652161,0.002021773,0.002706031,0.000734564,0.000658765,0.000916594,0.001075263,0.00250623,0.002236912,0.00239684,0.001245138,0.0022671,0.000640319,0.000325175,0.001400747,0.001593856,0.002575687,0.001703904,0.00214728,0.001803333,0.002640012,0.000351078,0.000904003,0.000374626,0.001856467,0.001521361,0.000715475
Cer_ADS.d49:1__Np,0.001012199,0.001226723,0.001197954,0.000634596,0.001029525,0.001086454,0.000985567,0.001097879,0.001442129,0.001271696,0.000877578,0.001018163,0.00094514,0.000737814,0.001357315,0.001267366,0.001232295,0.001292,0.001371407,0.001022167,0.000987164,0.000584393,0.000919871,0.000557828,0.000960573,0.001208398,0.000864104
Cer_ADS.d50:0__Np,0.005485983,0.003511417,0.003208935,0.001688508,0.001820157,0.001944027,0.002400475,0.004685251,0.003637292,0.004433956,0.002318882,0.004621059,0.002184981,0.001107811,0.002897241,0.003104332,0.002804145,0.003120484,0.004347182,0.00327809,0.004111729,0.001575374,0.002638891,0.001448378,0.004796558,0.00348054,0.002131866
Cer_ADS.d50:1__Np,0.002054581,0.001940055,0.002176138,0.001173586,0.001559567,0.001486233,0.001666782,0.002173288,0.001964249,0.002011959,0.001218961,0.001892449,0.001557894,0.00129863,0.001872894,0.001671366,0.002272459,0.001838049,0.002112103,0.001847826,0.002094448,0.001342978,0.001548994,0.001160158,0.002332872,0.002321635,0.001505423
Cer_ADS.d50:2__Np,0.00038221,0.000308927,0.000438052,0.000235809,0.000217677,0.000198801,0.000219521,0.000359695,0.000258257,0.000320541,0.00031011,0.000320545,0.000223465,0.000173824,0.000248066,0.000237852,0.000317253,0.000224381,0.000762725,0.000661294,0.000662668,0.000233981,0.000354971,0.000225635,0.000489392,0.000375859,0.000359681
Cer_ADS.d51:0__Np,0.001047727,0.000607844,0.001254983,0.000187756,0.000159232,0.000238367,0.000393967,0.00079112,0.000557443,0.000991664,0.00032352,0.001050207,0.000263779,2.05E-05,0.000289567,0.000511385,0.001059078,0.000343707,0.000885847,0.000530752,0.001153814,9.42E-05,0.00018874,7.14E-05,0.0008503,0.000716979,0.000139965
Cer_ADS.d54:2__Np,0.000106176,0.00017399,0.00011925,0.000174822,0.000141004,9.79E-05,0.000162702,0.000136021,0.000169684,0.000222234,0.00019682,0.000114188,8.33E-05,6.64E-05,8.73E-05,0.00016534,0.000112039,0.000150523,0.000185502,0.000159619,0.000147792,0.000122504,0.000154764,8.18E-05,7.56E-05,0.000178965,0.000156796
Cer_AP.t16:0_13:0__Np,4.46E-05,5.43E-05,7.80E-05,2.01E-05,2.34E-05,2.10E-05,2.01E-05,2.91E-05,2.88E-05,2.83E-05,2.28E-05,2.91E-05,2.23E-05,1.56E-05,2.66E-05,1.94E-05,2.68E-05,1.92E-05,7.17E-05,3.96E-05,5.89E-05,1.47E-05,1.92E-05,1.65E-05,3.73E-05,2.95E-05,2.84E-05
Cer_AP.t16:0_14:0__Np,7.49E-05,5.92E-05,8.18E-05,5.53E-05,4.74E-05,5.33E-05,4.39E-05,6.82E-05,5.87E-05,6.15E-05,4.15E-05,6.21E-05,5.06E-05,3.59E-05,6.05E-05,4.40E-05,6.09E-05,4.64E-05,7.78E-05,5.61E-05,8.35E-05,3.35E-05,4.33E-05,3.09E-05,7.29E-05,5.76E-05,6.47E-05
Cer_AP.t16:0_20:0__Np,0.002848246,0.002162894,0.003249373,0.002031497,0.001683888,0.001827243,0.001928706,0.002448226,0.002272934,0.00258735,0.001821187,0.002319488,0.001903156,0.001817183,0.002226778,0.002135063,0.002498591,0.001789903,0.002185868,0.001853179,0.002517939,0.001455054,0.001969725,0.001391488,0.002800828,0.002128655,0.002227455
Cer_AP.t16:0_26:2__Np,0.000223376,0.000289176,0.000309666,0.000241861,0.00022356,0.000208402,0.000191871,0.000271973,0.000271153,0.000394058,0.000195434,0.000238282,0.000206765,0.000192893,0.000214248,0.000140413,6.65E-05,0.000168855,0.000240135,0.000231952,0.000213659,0.000273361,0.000314084,0.000325009,0.000505987,0.00038969,0.000430907
Cer_AP.t17:0_14:0__Np,0.000971206,0.000805956,0.001091594,0.000501278,0.000497343,0.000576502,0.000480595,0.000913205,0.000804974,0.000645323,0.000289303,0.000542968,0.000564583,0.000432401,0.000862869,0.000379904,0.000790784,0.000519799,0.001165034,0.000568161,0.000864661,0.000378013,0.00057016,0.000294949,0.000938474,0.000881761,0.000535272
Cer_AP.t17:0_15:0__Np,0.001023536,0.000799988,0.001081772,0.000823077,0.000793321,0.000863748,0.000591383,0.000962086,0.000829946,0.000883392,0.000623772,0.000911108,0.000937729,0.000553562,0.000951918,0.000636877,0.001082034,0.000705048,0.000915485,0.000680106,0.001018894,0.000778268,0.001071914,0.000749235,0.001130079,0.001105954,0.000783411
Cer_AP.t17:0_16:0__Np,0.010424912,0.008593325,0.010874566,0.005789079,0.006402167,0.00243887,0.005510971,0.008744197,0.008092387,0.009227664,0.006034072,0.00872173,0.002275349,0.005493319,0.003093409,0.006692221,0.005823637,0.006567214,0.009345899,0.00376277,0.004881315,0.005420052,0.002631594,0.004799315,0.003495046,0.003091594,0.001943922
Cer_AP.t17:0_20:0__Np,0.002815644,0.002414741,0.003213347,0.001792195,0.002115389,0.00218479,0.00196462,0.002936697,0.002524707,0.003089789,0.001645563,0.002283873,0.002333633,0.00175562,0.002479578,0.001960294,0.002809069,0.002116468,0.00218635,0.001735166,0.002287756,0.001888645,0.002441693,0.001775846,0.003336763,0.003061737,0.002319985
Cer_AP.t17:0_22:2__Np,6.21E-05,5.29E-05,7.60E-05,2.84E-05,2.37E-05,3.41E-05,2.56E-05,3.94E-05,4.62E-05,5.47E-05,1.72E-05,3.92E-05,4.19E-05,2.60E-05,3.91E-05,2.99E-05,4.95E-05,3.49E-05,3.79E-05,2.21E-05,5.55E-05,2.75E-05,2.25E-05,2.31E-05,3.04E-05,3.82E-05,3.42E-05
Cer_AP.t17:0_24:0__Np,0.004235615,0.003725055,0.004661976,0.001945248,0.002583156,0.002736962,0.002620865,0.003957846,0.00351521,0.004462081,0.002397971,0.003609379,0.002818269,0.002356697,0.003191801,0.00289704,0.004268965,0.003284787,0.003932515,0.002902664,0.003706667,0.002420265,0.002944877,0.002258822,0.00424916,0.004118904,0.002937327
Cer_AP.t17:0_24:0_1__Np,0.004235615,0.003610999,0.004661976,0.001912378,0.002583156,0.002736962,0.002620865,0.003985368,0.00351521,0.004463474,0.002397971,0.003609379,0.002818269,0.002356697,0.003191801,0.00289704,0.004316566,0.003284787,0.003932515,0.002736231,0.003717487,0.002420265,0.002986712,0.002278079,0.004256427,0.004118904,0.002867907
Cer_AP.t17:0_24:1__Np,0.00149981,0.001730603,0.002219492,0.000845237,0.00126827,0.001020328,0.00082637,0.001288675,0.001292646,0.001813418,0.000927058,0.001144903,0.001022422,0.001056155,0.001228213,0.000634054,0.000939763,0.000807102,0.001033528,0.000717357,0.000919621,0.001007323,0.000935374,0.00099127,0.001853691,0.001460874,0.001278398
Cer_AP.t17:0_24:2__Np,1.05E-05,4.53E-05,4.70E-05,1.50E-05,7.77E-05,2.76E-05,1.36E-05,8.31E-05,1.28E-05,8.72E-06,0,5.36E-05,0,5.69E-05,7.88E-05,3.59E-05,1.01E-05,5.61E-05,1.09E-05,1.17E-05,0,6.46E-05,2.91E-05,2.89E-05,0.000101587,9.33E-05,2.90E-05
Cer_AP.t17:0_26:1__Np,0.000600348,0.000547676,0.000792141,0.00030252,0.000540144,0.000415805,0.000303323,0.00072674,0.000645318,0.000574806,0.000372362,0.000469136,0.000512956,0.000391315,0.000518518,0.000346197,0.000543431,0.000407928,0.000427009,0.000287981,0.000408938,0.00048423,0.000500123,0.000487318,0.000877685,0.00081576,0.000473669
