CompoundName,Formula,Mass,RT,LipidClass,LipidABV
Cer_AS d37:1,C37 H73 N O4,595.5537,9.37,,Cer_AS
Cer_AS d37:1,C37 H73 N O4,595.5538,8.29,,Cer_AS
Cer_AS d37:1,C37 H73 N O4,595.5525,7.86,,Cer_AS
Cer_AS d37:1,C37 H73 N O4,595.5538,8.27,,Cer_AS
Cer_AS d38:1,C38 H75 N O4,609.5695,8.79,,Cer_AS
Cer_AS d38:1,C38 H75 N O4,609.5695,9.8,,Cer_AS
Cer_AS d38:1,C38 H75 N O4,609.5695,8.77,,Cer_AS
Cer_AS d39:1,C39 H77 N O4,623.585,9.22,,Cer_AS
Cer_AS d39:1,C39 H77 N O4,623.5852,9.21,,Cer_AS
Cer_AS d40:1,C40 H79 N O4,637.6008,9.7,,Cer_AS
Cer_AS d40:1,C40 H79 N O4,637.6059,9.2,,Cer_AS
Cer_AS d40:1,C40 H79 N O4,637.6008,10.62,,Cer_AS
Cer_AS d40:1,C40 H79 N O4,637.6009,9.68,,Cer_AS
Cer_AS d40:2,C40 H77 N O4,635.5855,8.7,,Cer_AS
Cer_AS d40:2,C40 H77 N O4,635.585,9.74,,Cer_AS
Cer_AS d41:1,C41 H81 N O4,651.6164,10.09,,Cer_AS
Cer_AS d41:1,C41 H81 N O4,651.6165,10.09,,Cer_AS
Cer_AS d41:1,C41 H81 N O4,651.6161,9.72,,Cer_AS
Cer_AS d42:1,C42 H83 N O4,665.6321,10.55,,Cer_AS
Cer_AS d42:1,C42 H83 N O4,665.632,11.41,,Cer_AS
Cer_AS d42:2,C42 H81 N O4,663.6162,10.58,,Cer_AS
Cer_AS d42:2,C42 H81 N O4,663.6162,10.56,,Cer_AS
Cer_AS d42:2,C42 H81 N O4,663.6163,9.59,,Cer_AS
Cer_AS d43:1,C43 H85 N O4,679.6477,10.92,,Cer_AS
Cer_AS d43:1,C43 H85 N O4,679.6473,10.54,,Cer_AS
Cer_AS d43:1,C43 H85 N O4,679.6478,10.91,,Cer_AS
Cer_AS d44:1,C44 H87 N O4,693.6634,11.33,,Cer_AS
Cer_AS d44:2,C44 H85 N O4,691.6476,10.45,,Cer_AS
Cer_AS d44:2,C44 H85 N O4,691.6475,11.35,,Cer_AS
Cer_AS d46:1,C46 H91 N O4,721.6945,12.79,,Cer_AS
Cer_AS d46:2,C46 H89 N O4,719.6788,11.21,,Cer_AS
Cer_AS d47:1,C47 H93 N O4,735.7103,12.35,,Cer_AS
Cer_AS d48:1,C48 H95 N O4,749.7259,12.67,,Cer_AS
Cer_AS d48:1,C48 H95 N O4,749.7259,13.37,,Cer_AS
Cer_AS d49:1,C49 H97 N O4,763.7416,12.98,,Cer_AS
Cer_AS d50:2,C50 H97 N O4,775.7414,13.29,,Cer_AS
Cer_AS d51:1,C51 H101 N O4,791.7727,13.55,,Cer_AS
Cer_AS d51:1,C51 H101 N O4,791.7729,13.54,,Cer_AS
Cer_AS d52:2,C52 H101 N O4,803.7728,11.4,,Cer_AS
Cer_AS d52:2,C52 H101 N O4,803.7726,13.18,,Cer_AS
Cer_BDS d16:0_19:0,C35 H71 N O4,569.5383,8.81,,Cer_BDS
Cer_BDS d16:0_20:0,C36 H73 N O4,583.5539,8.7,,Cer_BDS
Cer_BDS d16:0_24:0,C40 H81 N O4,639.6161,10.02,,Cer_BDS
Cer_BDS d17:0_16:0,C33 H67 N O4,541.5067,7.27,,Cer_BDS
Cer_BDS d17:0_20:0,C37 H75 N O4,597.5696,9.2,,Cer_BDS
Cer_BDS d18:0_16:0,C34 H69 N O4,555.5224,7.76,,Cer_BDS
Cer_BDS d18:0_17:0,C35 H71 N O4,569.5381,8.26,,Cer_BDS
Cer_BDS d18:0_20:0,C38 H77 N O4,611.5852,9.67,,Cer_BDS
Cer_BDS d19:0_16:0,C35 H71 N O4,569.5383,8.04,,Cer_BDS
Cer_BDS d28:0_20:0,C48 H97 N O4,751.7417,13.32,,Cer_BDS
Cer_BDS d50:0,C50 H101 N O4,779.773,13.82,,Cer_BDS
Cer_BS d16:1_15:0,C31 H61 N O4,511.46,6.45,,Cer_BS
Cer_BS d16:1_15:0,C31 H61 N O4,511.4601,6.43,,Cer_BS
Cer_BS d16:1_16:0,C32 H63 N O4,525.4756,6.41,,Cer_BS
Cer_BS d16:1_16:0,C32 H63 N O4,525.4757,6.39,,Cer_BS
Cer_BS d16:1_19:0,C35 H69 N O4,567.5225,8.44,,Cer_BS
Cer_BS d16:1_19:0,C35 H69 N O4,567.5226,8.42,,Cer_BS
Cer_BS d16:1_21:0,C37 H73 N O4,595.5537,9.37,,Cer_BS
Cer_BS d16:1_23:0,C39 H77 N O4,623.5849,10.23,,Cer_BS
Cer_BS d16:1_23:1,C39 H75 N O4,621.565,9.71,,Cer_BS
Cer_BS d16:1_24:0,C40 H79 N O4,637.6008,10.14,,Cer_BS
Cer_BS d16:1_26:1,C42 H81 N O4,663.6163,10.11,,Cer_BS
Cer_BS d17:1_16:0,C33 H65 N O4,539.4914,6.86,,Cer_BS
Cer_BS d17:1_19:0,C36 H71 N O4,581.5382,8.88,,Cer_BS
Cer_BS d17:1_20:0,C37 H73 N O4,595.5538,8.84,,Cer_BS
Cer_BS d17:1_24:0,C41 H81 N O4,651.6162,10.6,,Cer_BS
Cer_BS d18:1_16:0,C34 H67 N O4,553.5069,7.39,,Cer_BS
Cer_BS d18:1_19:0,C37 H73 N O4,595.5539,9.36,,Cer_BS
Cer_BS d19:1_20:0,C39 H77 N O4,623.585,9.6,,Cer_BS
Cer_BS d19:1_24:0,C43 H85 N O4,679.6475,11.38,,Cer_BS
Cer_BS d48:1,C48 H95 N O4,749.7256,12.97,,Cer_BS
Cer_EODS d14:0_16:2_16:0,C46 H87 N O5,733.6556,12.34,,Cer_EODS
Cer_EODS d15:0_16:2_18:0,C49 H93 N O5,775.7032,13.27,,Cer_EODS
Cer_EODS d15:0_19:0_16:0,C50 H99 N O5,793.7514,12.76,,Cer_EODS
Cer_EODS d17:0_15:1_22:0,C54 H105 N O5,847.7991,13.64,,Cer_EODS
Cer_EODS d17:0_16:0_22:0,C55 H109 N O5,863.8301,14.09,,Cer_EODS
Cer_EODS d17:0_21:0_16:0,C54 H107 N O5,849.814,13.62,,Cer_EODS
Cer_EODS d17:0_21:1_22:0,C60 H117 N O5,931.8929,14.49,,Cer_EODS
Cer_EODS d18:0_15:1_20:0,C53 H103 N O5,833.7834,13.37,,Cer_EODS
Cer_EODS d18:0_34:2_18:2,C70 H131 N O5,1066.0028,14.49,,Cer_EODS
Cer_EODS d19:0_13:1_16:1,C48 H91 N O5,761.6893,11.21,,Cer_EODS
Cer_EODS d19:0_15:1_16:1,C50 H95 N O5,789.7206,11.91,,Cer_EODS
Cer_EODS d23:0_27:1_22:0,C72 H141 N O5,1100.0798,14.88,,Cer_EODS
Cer_EODS d24:0_22:0_22:0,C68 H135 N O5,1046.0329,14.85,,Cer_EODS
Cer_EODS d46:1,C46 H89 N O5,735.6737,11.2,,Cer_EODS
Cer_EODS d48:1,C48 H93 N O5,763.7051,11.87,,Cer_EODS
Cer_EODS d48:2,C48 H91 N O5,761.6895,11.22,,Cer_EODS
Cer_EODS d52:0,C52 H103 N O5,821.7833,13.57,,Cer_EODS
Cer_EODS d52:1,C52 H101 N O5,819.7675,12.71,,Cer_EODS
Cer_EODS d54:0,C54 H107 N O5,849.8148,14.04,,Cer_EODS
Cer_EODS d54:0,C54 H107 N O5,849.8146,14.02,,Cer_EODS
Cer_EODS d55:0,C55 H109 N O5,863.8302,14.08,,Cer_EODS
Cer_EODS d55:1,C55 H107 N O5,861.8146,13.84,,Cer_EODS
Cer_EODS d55:1,C55 H107 N O5,861.8149,13.85,,Cer_EODS
Cer_EODS d56:0,C56 H111 N O5,877.8455,14.2,,Cer_EODS
Cer_EODS d60:0,C60 H119 N O5,933.9084,14.57,,Cer_EODS
Cer_EODS d63:3,C63 H119 N O5,969.9085,13.87,,Cer_EODS
Cer_EODS d65:3,C65 H123 N O5,997.94,14.23,,Cer_EODS
Cer_EODS d68:4,C68 H127 N O5,1037.9718,14.37,,Cer_EODS
Cer_EODS d69:3,C69 H131 N O5,1054.0035,14.53,,Cer_EODS
Cer_EODS d69:4,C69 H129 N O5,1051.9869,14.42,,Cer_EODS
Cer_EODS d72:1,C72 H141 N O5,1100.0796,14.88,,Cer_EODS
Cer_EOS d18:1_30:0_18:2,C66 H125 N O5,1011.9561,14.37,,Cer_EOS
Cer_EOS d20:1_30:1_18:2,C68 H127 N O5,1037.9717,14.36,,Cer_EOS
Cer_EOS d21:1_25:1_18:2,C64 H119 N O5,981.9098,14.16,,Cer_EOS
Cer_EOS d21:1_29:0_18:2,C68 H129 N O5,1039.9877,14.49,,Cer_EOS
Cer_EOS d21:1_32:1_18:2,C71 H133 N O5,1080.0188,14.53,,Cer_EOS
Cer_EOS d25:1_21:0_18:2,C64 H121 N O5,983.9244,14.13,,Cer_EOS
Cer_EOS d26:1_23:0_18:2,C67 H127 N O5,1025.9713,14.42,,Cer_EOS
Cer_EOS d49:2,C49 H93 N O5,775.7053,11.56,,Cer_EOS
Cer_EOS d53:1,C53 H103 N O5,833.7836,13.37,,Cer_EOS
Cer_EOS d56:1,C56 H109 N O5,875.8303,14.13,,Cer_EOS
Cer_EOS d56:1,C56 H109 N O5,875.8304,14.12,,Cer_EOS
Cer_EOS d63:3,C63 H119 N O5,969.9087,14.16,,Cer_EOS
Cer_EOS d65:3,C65 H123 N O5,997.9399,14.22,,Cer_EOS
Cer_EOS d66:3,C66 H125 N O5,1011.956,14.36,,Cer_EOS
Cer_EOS d67:4,C67 H125 N O5,1023.9555,14.22,,Cer_EOS
Cer_EOS d67:4,C67 H125 N O5,1023.9555,14.22,,Cer_EOS
Cer_EOS d67:5,C67 H123 N O5,1021.9407,14.38,,Cer_EOS
Cer_EOS d68:3,C68 H129 N O5,1039.9879,14.5,,Cer_EOS
Cer_EOS d69:5,C69 H127 N O5,1049.9707,14.39,,Cer_EOS
Cer_EOS d70:4,C70 H131 N O5,1066.0029,14.49,,Cer_EOS
Cer_EOS d71:3,C71 H135 N O5,1082.0342,14.6,,Cer_EOS
Cer_EOS d72:4,C72 H135 N O5,1094.035,14.56,,Cer_EOS
Cer_EOS d72:5,C72 H133 N O5,1092.0182,14.5,,Cer_EOS
Cer_NDS d15:0_20:0,C35 H71 N O3,553.5433,9.1,,Cer_NDS
Cer_NDS d16:0_16:0,C32 H65 N O3,511.4963,7.63,,Cer_NDS
Cer_NDS d16:0_18:2,C34 H65 N O3,535.4962,7.39,,Cer_NDS
Cer_NDS d16:0_20:0,C36 H73 N O3,567.5592,9.58,,Cer_NDS
Cer_NDS d16:0_20:0,C36 H73 N O3,567.5593,9.56,,Cer_NDS
Cer_NDS d16:0_24:0,C40 H81 N O3,623.6219,11.25,,Cer_NDS
Cer_NDS d17:0_16:0,C33 H67 N O3,525.5121,8.13,,Cer_NDS
Cer_NDS d17:0_16:0,C33 H67 N O3,525.5121,8.12,,Cer_NDS
Cer_NDS d17:0_20:0,C37 H75 N O3,581.5748,10.03,,Cer_NDS
Cer_NDS d17:0_20:0,C37 H75 N O3,581.5748,10.02,,Cer_NDS
Cer_NDS d17:0_22:0,C39 H79 N O3,609.6061,10.87,,Cer_NDS
Cer_NDS d17:0_22:0,C39 H79 N O3,609.6061,10.86,,Cer_NDS
Cer_NDS d18:0_16:0,C34 H69 N O3,539.5278,8.65,,Cer_NDS
Cer_NDS d18:0_20:0,C38 H77 N O3,595.5906,10.44,,Cer_NDS
Cer_NDS d18:0_24:1,C42 H83 N O3,649.637,11.18,,Cer_NDS
Cer_NDS d19:0_30:1,C49 H97 N O3,747.7471,13.85,,Cer_NDS
Cer_NDS d19:0_32:1,C51 H101 N O3,775.7782,14.23,,Cer_NDS
Cer_NDS d19:0_32:2,C51 H99 N O3,773.7624,13.8,,Cer_NDS
Cer_NDS d20:0_32:2,C52 H101 N O3,787.7783,14.07,,Cer_NDS
Cer_NDS d20:0_32:2,C52 H101 N O3,787.7785,14.05,,Cer_NDS
Cer_NDS d20:0_34:2,C54 H105 N O3,815.8092,14.36,,Cer_NDS
Cer_NDS d21:0_20:0,C41 H83 N O3,637.6375,11.62,,Cer_NDS
Cer_NDS d22:0_24:0,C46 H93 N O3,707.7153,13.55,,Cer_NDS
Cer_NDS d22:0_26:0,C48 H97 N O3,735.7465,14.07,,Cer_NDS
Cer_NDS d23:0_28:0,C51 H103 N O3,777.7931,14.36,,Cer_NDS
Cer_NDS d32:0,C32 H65 N O3,511.4964,7.62,,Cer_NDS
Cer_NDS d35:0,C35 H71 N O3,553.5433,9.11,,Cer_NDS
Cer_NDS d38:0,C38 H77 N O3,595.5905,10.45,,Cer_NDS
Cer_NDS d40:0,C40 H81 N O3,623.6219,11.24,,Cer_NDS
Cer_NDS d41:0,C41 H83 N O3,637.6375,11.64,,Cer_NDS
Cer_NDS d42:0,C42 H85 N O3,651.6532,11.99,,Cer_NDS
Cer_NDS d42:2,C42 H81 N O3,647.6216,10.9,,Cer_NDS
Cer_NDS d44:1,C44 H87 N O3,677.6689,12.43,,Cer_NDS
Cer_NDS d45:0,C45 H91 N O3,693.7001,12.99,,Cer_NDS
Cer_NDS d45:1,C45 H89 N O3,691.6852,12.76,,Cer_NDS
Cer_NDS d46:0,C46 H93 N O3,707.716,13.28,,Cer_NDS
Cer_NDS d46:0,C46 H93 N O3,707.7159,13.26,,Cer_NDS
Cer_NDS d46:1,C46 H91 N O3,705.7004,13.06,,Cer_NDS
Cer_NDS d47:0,C47 H95 N O3,721.7312,13.56,,Cer_NDS
Cer_NDS d47:0,C47 H95 N O3,721.7313,13.55,,Cer_NDS
Cer_NDS d48:0,C48 H97 N O3,735.7469,13.81,,Cer_NDS
Cer_NDS d48:0,C48 H97 N O3,735.747,13.81,,Cer_NDS
Cer_NDS d48:1,C48 H95 N O3,733.7318,13.64,,Cer_NDS
Cer_NDS d48:1,C48 H95 N O3,733.7317,13.62,,Cer_NDS
Cer_NDS d49:0,C49 H99 N O3,749.7622,14.08,,Cer_NDS
Cer_NDS d49:0,C49 H99 N O3,749.7623,14.07,,Cer_NDS
Cer_NDS d49:1,C49 H97 N O3,747.7471,13.85,,Cer_NDS
Cer_NDS d49:1,C49 H97 N O3,747.7463,13.41,,Cer_NDS
Cer_NDS d50:0,C50 H101 N O3,763.7761,14.21,,Cer_NDS
Cer_NDS d50:1,C50 H99 N O3,761.7631,14.13,,Cer_NDS
Cer_NDS d50:1,C50 H99 N O3,761.763,14.12,,Cer_NDS
Cer_NDS d50:1,C50 H99 N O3,761.7623,14.36,,Cer_NDS
Cer_NDS d50:2,C50 H97 N O3,759.7466,13.55,,Cer_NDS
Cer_NDS d52:1,C52 H103 N O3,789.7942,14.38,,Cer_NDS
Cer_NP t14:2_34:0,C48 H93 N O4,747.7103,12.72,,Cer_NP
Cer_NP t16:0_31:1,C47 H93 N O4,735.7099,11.89,,Cer_NP
Cer_NP t16:0_31:1,C47 H93 N O4,735.7101,12.03,,Cer_NP
Cer_NP t17:0_14:0,C31 H63 N O4,513.4755,6.27,,Cer_NP
Cer_NP t17:0_16:0,C33 H67 N O4,541.5067,7.27,,Cer_NP
Cer_NP t17:0_16:0,C33 H67 N O4,541.5067,7.25,,Cer_NP
Cer_NP t17:0_20:0,C37 H75 N O4,597.5696,9.22,,Cer_NP
Cer_NP t17:0_22:0,C39 H79 N O4,625.6009,10.11,,Cer_NP
Cer_NP t17:0_22:1,C39 H77 N O4,623.585,9.22,,Cer_NP
Cer_NP t17:0_24:0,C41 H83 N O4,653.6321,10.94,,Cer_NP
Cer_NP t17:0_26:0,C43 H87 N O4,681.6634,11.69,,Cer_NP
Cer_NP t18:0_16:0,C34 H69 N O4,555.5224,7.76,,Cer_NP
Cer_NP t18:0_20:0,C38 H77 N O4,611.5853,9.7,,Cer_NP
Cer_NP t18:0_24:2,C42 H81 N O4,663.6162,9.61,,Cer_NP
Cer_NP t19:0_24:0,C43 H87 N O4,681.6639,12.11,,Cer_NP
Cer_NP t21:1_28:0,C49 H97 N O4,763.7414,11.07,,Cer_NP
Cer_NP t22:0_24:0,C46 H93 N O4,723.7106,12.73,,Cer_NP
Cer_NP t22:0_28:0,C50 H101 N O4,779.7729,13.79,,Cer_NP
Cer_NP t22:0_30:0,C52 H105 N O4,807.8038,14.18,,Cer_NP
Cer_NP t36:0,C36 H73 N O4,583.5538,8.17,,Cer_NP
Cer_NP t36:1,C36 H71 N O4,581.5382,7.79,,Cer_NP
Cer_NP t37:0,C37 H75 N O4,597.5697,9.75,,Cer_NP
Cer_NP t38:1,C38 H75 N O4,609.5695,8.79,,Cer_NP
Cer_NP t40:0,C40 H81 N O4,639.6167,10.99,,Cer_NP
Cer_NP t40:2,C40 H77 N O4,635.5852,8.69,,Cer_NP
Cer_NP t41:0,C41 H83 N O4,653.6324,11.37,,Cer_NP
Cer_NP t41:1,C41 H81 N O4,651.6164,10.09,,Cer_NP
Cer_NP t42:0,C42 H85 N O4,667.6479,11.35,,Cer_NP
Cer_NP t45:0,C45 H91 N O4,709.6947,12.78,,Cer_NP
Cer_NP t45:2,C45 H87 N O4,705.6626,11.68,,Cer_NP
Cer_NP t46:1,C46 H91 N O4,721.6944,12.35,,Cer_NP
Cer_NP t46:2,C46 H89 N O4,719.6788,11.22,,Cer_NP
Cer_NP t47:0,C47 H95 N O4,737.726,13.02,,Cer_NP
Cer_NP t47:1,C47 H93 N O4,735.7101,10.3,,Cer_NP
Cer_NP t48:1,C48 H95 N O4,749.7257,12.33,,Cer_NP
Cer_NP t49:1,C49 H97 N O4,763.7411,13.28,,Cer_NP
Cer_NP t50:1,C50 H99 N O4,777.7571,13.25,,Cer_NP
Cer_NP t50:1,C50 H99 N O4,777.7572,13.26,,Cer_NP
Cer_NP t50:2,C50 H97 N O4,775.7414,10.74,,Cer_NP
Cer_NP t50:2,C50 H97 N O4,775.7409,12.22,,Cer_NP
Cer_NP t53:1,C53 H105 N O4,819.8045,14.05,,Cer_NP
Cer_NP t53:2,C53 H103 N O4,817.7883,13.4,,Cer_NP
Cer_NP t54:1,C54 H107 N O4,833.8196,14.19,,Cer_NP
Cer_NP t54:2,C54 H105 N O4,831.8041,13.73,,Cer_NP
Cer_NS d16:1_16:0,C32 H63 N O3,509.4808,7.31,,Cer_NS
Cer_NS d16:1_16:0,C32 H63 N O3,509.4808,7.3,,Cer_NS
Cer_NS d16:1_16:1,C32 H61 N O3,507.4654,6.96,,Cer_NS
Cer_NS d16:1_16:1,C32 H61 N O3,507.4651,6.42,,Cer_NS
Cer_NS d16:1_18:1,C34 H65 N O3,535.4963,7.4,,Cer_NS
Cer_NS d16:1_19:0,C35 H69 N O3,551.5277,8.79,,Cer_NS
Cer_NS d16:1_20:0,C36 H71 N O3,565.5436,9.24,,Cer_NS
Cer_NS d16:1_20:0,C36 H71 N O3,565.5437,9.26,,Cer_NS
Cer_NS d16:1_20:0,C36 H71 N O3,565.5437,9.25,,Cer_NS
Cer_NS d16:1_22:0,C38 H75 N O3,593.5748,10.14,,Cer_NS
Cer_NS d16:1_22:0,C38 H75 N O3,593.5749,10.16,,Cer_NS
Cer_NS d16:1_22:0,C38 H75 N O3,593.5749,10.14,,Cer_NS
Cer_NS d16:1_24:0,C40 H79 N O3,621.606,10.98,,Cer_NS
Cer_NS d16:1_26:0,C42 H83 N O3,649.6375,11.73,,Cer_NS
Cer_NS d16:1_28:0,C44 H87 N O3,677.6689,12.45,,Cer_NS
Cer_NS d17:1_14:0,C31 H61 N O3,495.465,6.83,,Cer_NS
Cer_NS d17:1_16:0,C33 H65 N O3,523.4965,7.78,,Cer_NS
Cer_NS d17:1_16:1,C33 H63 N O3,521.481,7.42,,Cer_NS
Cer_NS d17:1_18:0,C35 H69 N O3,551.5277,8.81,,Cer_NS
Cer_NS d17:1_20:0,C37 H73 N O3,579.5592,9.75,,Cer_NS
Cer_NS d17:1_20:0,C37 H73 N O3,579.5592,9.72,,Cer_NS
Cer_NS d17:1_22:0,C39 H77 N O3,607.5909,10.57,,Cer_NS
Cer_NS d17:1_22:0,C39 H77 N O3,607.5905,10.57,,Cer_NS
Cer_NS d17:1_24:0,C41 H81 N O3,635.6218,11.38,,Cer_NS
Cer_NS d17:1_24:0,C41 H81 N O3,635.6219,11.37,,Cer_NS
Cer_NS d17:1_28:0,C45 H89 N O3,691.6845,12.75,,Cer_NS
Cer_NS d18:1_16:0,C34 H67 N O3,537.5122,8.3,,Cer_NS
Cer_NS d18:1_16:0,C34 H67 N O3,537.5123,8.31,,Cer_NS
Cer_NS d18:1_16:0,C34 H67 N O3,537.5122,8.3,,Cer_NS
Cer_NS d18:1_16:1,C34 H65 N O3,535.4963,7.93,,Cer_NS
Cer_NS d18:1_17:0,C35 H69 N O3,551.5267,8.78,,Cer_NS
Cer_NS d18:1_24:1,C42 H81 N O3,647.6216,10.9,,Cer_NS
Cer_NS d18:1_24:1,C42 H81 N O3,647.6216,10.88,,Cer_NS
Cer_NS d20:1_26:0,C46 H91 N O3,705.6999,13.05,,Cer_NS
Cer_NS d20:1_30:1,C50 H97 N O3,759.7469,13.53,,Cer_NS
Cer_NS d21:1_28:0,C49 H97 N O3,747.747,13.89,,Cer_NS
Cer_NS d21:1_30:0,C51 H101 N O3,775.7778,14.27,,Cer_NS
Cer_NS d22:1_28:0,C50 H99 N O3,761.7627,14.13,,Cer_NS
Cer_NS d22:1_29:0,C51 H101 N O3,775.7782,14.23,,Cer_NS
Cer_NS d22:1_30:0,C52 H103 N O3,789.7939,14.38,,Cer_NS
Cer_NS d22:1_30:1,C52 H101 N O3,787.7786,14.05,,Cer_NS
Cer_NS d22:1_32:2,C54 H103 N O3,813.7941,14.07,,Cer_NS
Cer_NS d23:2_29:1,C52 H99 N O3,785.7503,13.58,,Cer_NS
Cer_NS d35:1,C35 H69 N O3,551.5277,8.81,,Cer_NS
Cer_NS d36:2,C36 H69 N O3,563.5274,8.38,,Cer_NS
Cer_NS d37:1,C37 H73 N O3,579.5593,9.71,,Cer_NS
Cer_NS d39:1,C39 H77 N O3,607.5905,10.59,,Cer_NS
Cer_NS d40:1,C40 H79 N O3,621.6062,10.99,,Cer_NS
Cer_NS d40:1,C40 H79 N O3,621.6063,10.98,,Cer_NS
Cer_NS d40:2,C40 H77 N O3,619.5902,10.07,,Cer_NS
Cer_NS d44:1,C44 H87 N O3,677.6687,12.43,,Cer_NS
Cer_NS d46:1,C46 H91 N O3,705.7005,13.07,,Cer_NS
Cer_NS d47:1,C47 H93 N O3,719.7161,13.36,,Cer_NS
Cer_NS d48:1,C48 H95 N O3,733.7312,13.63,,Cer_NS
Cer_NS d48:2,C48 H93 N O3,731.7154,12.96,,Cer_NS
Cer_NS d49:1,C49 H97 N O3,747.7463,13.42,,Cer_NS
Cer_NS d52:1,C52 H103 N O3,789.7935,14.18,,Cer_NS
Cer_NS d52:2,C52 H101 N O3,787.7772,13.72,,Cer_NS
Cer_NS d54:3,C54 H103 N O3,813.794,14.06,,Cer_NS
Cer_NS d56:3,C56 H107 N O3,841.8248,14.36,,Cer_NS
DG 16:0_16:1,C35 H66 O5,566.4909,8.9,,DG
DG 16:0_18:0,C37 H72 O5,596.5379,10.62,,DG
DG 16:0_18:1,C37 H70 O5,594.5225,9.8,,DG
DG 16:1_16:1,C35 H64 O5,564.4751,7.96,,DG
DG 18:0_18:0,C39 H76 O5,624.5694,11.41,,DG
DG 18:0_18:1,C39 H74 O5,622.5538,10.62,,DG
DG 18:1_18:1,C39 H72 O5,620.5378,9.81,,DG
DG 18:1_18:2,C39 H70 O5,618.5226,9.08,,DG
DG 23:3,C26 H44 O5,436.3185,4.83,,DG
DG 27:4,C30 H50 O5,490.3651,5.14,,DG
DG 30:1,C33 H62 O5,538.4595,7.89,,DG
DG 30:5,C33 H54 O5,530.4,6.32,,DG
DG 31:1,C34 H64 O5,552.4743,8.2,,DG
DG 32:0|DG 16:0_16:0,C35 H68 O5,568.5065,9.7,,DG
DG 32:1|DG 14:0_18:1,C35 H66 O5,566.4909,8.84,,DG
DG 34:0|DG 16:0_18:0,C37 H72 O5,596.5377,10.56,,DG
DG 34:1|DG 16:0_18:1,C37 H70 O5,594.5223,9.75,,DG
DG 34:2|DG 16:0_18:2,C37 H68 O5,592.5066,9.01,,DG
DG 34:3,C37 H66 O5,590.4914,8.16,,DG
DG 36:0|DG 18:0_18:0,C39 H76 O5,624.5691,11.34,,DG
DG 36:1|DG 18:0_18:1,C39 H74 O5,622.5537,10.57,,DG
DG 36:2|DG 18:1_18:1,C39 H72 O5,620.5377,9.76,,DG
DG 36:3|DG 18:1_18:2,C39 H70 O5,618.5219,9.02,,DG
DG 36:4|DG 18:2_18:2,C39 H68 O5,616.5064,8.27,,DG
DG 37:3,C40 H72 O5,632.536,7.65,,DG
DG 38:2,C41 H76 O5,648.5693,10.53,,DG
DG 38:3,C41 H74 O5,646.5546,9.82,,DG
DG 38:4|DG 18:0_20:4,C41 H72 O5,644.5374,9.7,,DG
DG 39:3,C42 H76 O5,660.5691,8.43,,DG
DG 40:5,C43 H74 O5,670.5537,12.03,,DG
DG 40:6,C43 H72 O5,668.5375,7.53,,DG
DG 40:9,C43 H66 O5,662.4918,8.04,,DG
DG 41:2,C44 H82 O5,690.6164,9.94,,DG
DG 42:4,C45 H80 O5,700.5967,4.3,,DG
DG 43:2,C46 H86 O5,718.6472,10.69,,DG
DG 43:3,C46 H84 O5,716.6318,9.94,,DG
DG 43:7,C46 H76 O5,708.5689,11.32,,DG
DG 43:8,C46 H74 O5,706.5553,10.5,,DG
DG 44:12,C47 H68 O5,712.5117,6.7,,DG
DG 45:3,C48 H88 O5,744.6631,10.7,,DG
DG 45:4,C48 H86 O5,742.6515,8.57,,DG
DG 45:9,C48 H76 O5,732.5699,10.88,,DG
DG 46:8,C49 H80 O5,748.602,4.45,,DG
DG 46:8,C49 H80 O5,748.6001,11.68,,DG
DG 47:7,C50 H84 O5,764.6323,12.75,,DG
DG 47:8,C50 H82 O5,762.6164,12.12,,DG
DG 47:9,C50 H80 O5,760.601,4.16,,DG
DG 47:9,C50 H80 O5,760.5995,11.5,,DG
DG 48:7,C51 H86 O5,778.6482,12.95,,DG
DG 48:8,C51 H84 O5,776.6318,12.31,,DG
DG 48:9,C51 H82 O5,774.6158,11.77,,DG
DG 49:10,C52 H82 O5,786.6168,11.6,,DG
DG 49:13,C52 H76 O5,780.5693,5.46,,DG
DG 49:13,C52 H76 O5,780.5697,4.39,,DG
DG 49:7,C52 H88 O5,792.6635,13.3,,DG
DG 49:8,C52 H86 O5,790.6477,12.74,,DG
DG 49:9,C52 H84 O5,788.6321,12.13,,DG
DG 50:9,C53 H86 O5,802.6478,12.41,,DG
DG 51:10,C54 H86 O5,814.648,12.24,,DG
DG 51:8,C54 H90 O5,818.679,13.29,,DG
DG_d5 31:1,C34 H59 O5,547.4349,6.88,,DG_d5
DG_d5 38:1,C41 H73 O5,645.544,10.16,,DG_d5
DG_d5 42:1,C45 H81 O5,701.613,11.7,,DG_d5
DGCC 34:2,C44 H81 N O8,751.5964,7.14,,DGCC
DGGA 34:1|DGGA 16:0_18:1,C43 H78 O11,770.5545,8.1,,DGGA
DGGA 36:2|DGGA 18:1_18:1,C45 H80 O11,796.5628,8.03,,DGGA
DGTS 16:0_18:1,C44 H83 N O7,737.617,8.65,,DGTS
DGTS 16:0_22:2,C48 H89 N O7,791.6639,9.89,,DGTS
DGTS 18:1_18:1,C46 H85 N O7,763.6326,8.63,,DGTS
DGTS 18:1_19:1,C47 H87 N O7,777.6483,9.27,,DGTS
DGTS 35:1|DGTS 16:0_19:1,C45 H85 N O7,751.6327,9.24,,DGTS
