CompoundName,Formula,Mass,RT,LipidClass,LipidABV
Cer 36:0;O3|Cer 16:0;O2/20:0;O,C36 H73 N O4,583.5542,8.66,,Cer
Cer 36:1;O2|Cer 16:1;O2/20:0,C36 H71 N O3,565.5433,9.19,,Cer
Cer 37:1;O2|Cer 17:1;O2/20:0,C37 H73 N O3,579.5592,9.65,,Cer
Cer 38:0;O2|Cer 18:0;O2/20:0,C38 H77 N O3,595.5905,10.38,,Cer
Cer 38:0;O3|Cer 20:0;O2/18:0;O,C38 H77 N O4,611.5856,9.55,,Cer
Cer 38:1;O2|Cer 16:1;O2/22:0,C38 H75 N O3,593.5744,10.08,,Cer
Cer 39:1;O2|Cer 12:0;O2/27:1,C39 H77 N O3,607.5908,9.2,,Cer
Cer 39:1;O2|Cer 17:1;O2/22:0,C39 H77 N O3,607.5906,10.49,,Cer
Cer 40:0;O2|Cer 16:0;O2/24:0,C40 H81 N O3,623.6215,11.19,,Cer
Cer 40:0;O4|Cer 16:0;O3/24:0(2OH),C40 H81 N O5,655.6111,10.16,,Cer
Cer 40:1;O2|Cer 18:1;O2/22:0,C40 H79 N O3,621.6058,10.91,,Cer
Cer 40:1;O2|Cer 25:0;O2/15:1,C40 H79 N O3,621.6068,11.57,,Cer
Cer 40:1;O3|Cer 16:1;O2/24:0;O,C40 H79 N O4,637.601,9.61,,Cer
Cer 41:0;O2|Cer 17:0;O2/24:0,C41 H83 N O3,637.6372,11.56,,Cer
Cer 41:1;O2|Cer 17:1;O2/24:0,C41 H81 N O3,635.6219,11.29,,Cer
Cer 41:1;O3|Cer 17:1;O2/24:0;O,C41 H81 N O4,651.6174,10.02,,Cer
Cer 41:2;O2|Cer 20:2;O2/21:0,C41 H79 N O3,633.6093,11.66,,Cer
Cer 42:1;O2|Cer 16:1;O2/26:0,C42 H83 N O3,649.637,11.67,,Cer
Cer 42:1;O3|Cer 16:1;O2/26:0;O,C42 H83 N O4,665.6322,10.46,,Cer
Cer 42:2;O2|Cer 16:1;O2/26:1,C42 H81 N O3,647.6216,10.82,,Cer
Cer 43:1;O2|Cer 17:1;O2/26:0,C43 H85 N O3,663.6532,12.03,,Cer
Cer 44:1;O2|Cer 16:1;O2/28:0,C44 H87 N O3,677.6685,12.36,,Cer
Cer 44:1;O3|Cer 18:1;O2/26:0;O,C44 H87 N O4,693.6636,11.23,,Cer
Cer 45:0;O3|Cer 17:0;O2/28:0;O,C45 H91 N O4,709.6951,12.31,,Cer
Cer 45:0;O4|Cer 22:0;O3/23:0(2OH),C45 H91 N O5,725.6898,12.1,,Cer
Cer 45:1;O2|Cer 17:1;O2/28:0,C45 H89 N O3,691.6841,12.68,,Cer
Cer 46:0;O3|Cer 24:0;O2/22:0;O,C46 H93 N O4,723.7111,12.64,,Cer
Cer 46:0;O4|Cer 22:0;O3/24:0(2OH),C46 H93 N O5,739.7059,12.43,,Cer
Cer 46:1;O2|Cer 22:1;O2/24:0,C46 H91 N O3,705.6998,13,,Cer
Cer 46:1;O3|Cer 20:1;O2/26:0;O,C46 H91 N O4,721.6948,11.96,,Cer
Cer 47:1;O2|Cer 17:1;O2/30:0,C47 H93 N O3,719.7154,13.28,,Cer
Cer 48:0;O2|Cer 22:0;O2/26:0,C48 H97 N O3,735.7467,13.74,,Cer
Cer 48:0;O3|Cer 22:0;O2/26:0;O,C48 H97 N O4,751.7419,13.23,,Cer
Cer 48:1;O2|Cer 20:1;O2/28:0,C48 H95 N O3,733.7313,13.57,,Cer
Cer 48:1;O3|Cer 22:1;O2/26:0;O,C48 H95 N O4,749.726,12.61,,Cer
