CompoundID,CompoundName,Formula,Phase,Mass,RT,P3_ChloraPrep_EndPoint.1,P3_ChloraPrep_EndPoint.2,P3_ChloraPrep_EndPoint.3,P3_ChloraPrep_Baseline.1,P3_ChloraPrep_Baseline.2,P3_ChloraPrep_Baseline.3,P3_ChloraPrep_PostIntervention.1,P3_ChloraPrep_PostIntervention.2,P3_ChloraPrep_PostIntervention.3,P3_FullSurgicalPrep_EndPoint.1,P3_FullSurgicalPrep_EndPoint.2,P3_FullSurgicalPrep_EndPoint.3,P3_FullSurgicalPrep_Baseline.1,P3_FullSurgicalPrep_Baseline.2,P3_FullSurgicalPrep_Baseline.3,P3_FullSurgicalPrep_PostIntervention.1,P3_FullSurgicalPrep_PostIntervention.2,P3_FullSurgicalPrep_PostIntervention.3,P3_Water_EndPoint.1,P3_Water_EndPoint.2,P3_Water_EndPoint.3,P3_Water_Baseline.1,P3_Water_Baseline.2,P3_Water_Baseline.3,P3_Water_PostIntervention.1,P3_Water_PostIntervention.2,P3_Water_PostIntervention.3
DG.34:1|DG.16:0_18:1__Pp,DG 34:1|DG 16:0_18:1,C37 H70 O5,Positive Phase,594.5223,9.75,198709.3115,246345.9999,332047.4104,393392.7785,184523.1818,45026.89027,172650.6101,114610.586,164964.8168,215986.7417,141747.503,107608.9494,235653.6325,141926.9988,167934.9412,244782.1567,134728.5485,133640.8121,129475.2287,795402.2024,443981.533,322461.9477,59969.85444,111939.7444,115078.9875,134865.2727,311652.8276
DG.34:2|DG.16:0_18:2__Pp,DG 34:2|DG 16:0_18:2,C37 H68 O5,Positive Phase,592.5066,9.01,111005.8326,137617.3196,170133.4872,218806.6244,99931.4034,82898.65298,87728.4427,39270.52603,0,43034.65824,46733.303,51859.89449,78981.98583,59531.32263,92675.06554,176670.8287,69554.67301,65843.45572,73203.09203,412225.4085,210982.3615,187175.3662,94968.31825,10880.78569,58984.905,80659.18631,143850.8231
DG.34:3__Pp,DG 34:3,C37 H66 O5,Positive Phase,590.4914,8.16,0,0,0,19403.23715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31318.05441,0,0,0,0,0,0,0
DG.36:0|DG.18:0_18:0__Pp,DG 36:0|DG 18:0_18:0,C39 H76 O5,Positive Phase,624.5691,11.34,733477.5871,909314.5572,814235.5646,905554.0595,793281.2212,937997.6738,1106599.953,711322.7478,1074152.43,858867.1759,724786.5041,859692.8069,823102.452,623640.0007,964688.8966,880993.1271,501310.6387,714827.66,575764.8885,1027398.545,828577.4463,654754.1569,1276209.045,858928.676,610447.9559,693369.8084,658226.1449
DG.36:1|DG.18:0_18:1__Pp,DG 36:1|DG 18:0_18:1,C39 H74 O5,Positive Phase,622.5537,10.57,55595.10248,68922.94581,99174.66052,121521.4537,69275.66656,80880.5541,51585.46117,32320.47127,50403.51198,57293.11425,75394.68585,46133.22354,104800.9875,53672.48566,70410.83216,70679.65206,51855.71586,56313.34887,50676.47047,233565.7289,118154.4048,93440.22723,27186.03922,38621.86273,16315.92389,44260.83995,47587.06718
DG.36:2|DG.18:1_18:1__Pp,DG 36:2|DG 18:1_18:1,C39 H72 O5,Positive Phase,620.5377,9.76,166230.8512,206081.4611,242923.6411,347559.1581,135711.231,120843.4579,154843.9397,90722.39166,142887.4735,185218.0165,142110.3965,88134.57874,89946.62092,125532.2752,121882.869,190314.9376,118993.6157,120406.0227,101469.5924,636566.8638,351618.9691,276977.8758,186446.298,56512.05606,100769.463,139814.4554,267792.815
DG.36:3|DG.18:1_18:2__Pp,DG 36:3|DG 18:1_18:2,C39 H70 O5,Positive Phase,618.5219,9.02,112592.5666,139584.4422,155372.1419,254821.8165,94942.29056,0,122432.0378,72204.43808,87007.99779,130418.4944,84254.01245,33843.95027,90631.0111,90974.39365,96628.76959,165367.8341,70794.09516,75226.68106,77534.27762,375160.341,231018.3696,189567.2128,131703.5589,63535.09742,90200.79394,83600.17089,158193.4192
DG.36:4|DG.18:2_18:2__Pp,DG 36:4|DG 18:2_18:2,C39 H68 O5,Positive Phase,616.5064,8.27,45599.10454,56530.602,50330.3993,75810.01309,47587.14977,45392.43354,47922.724,39538.43588,43585.90719,29674.34443,26154.93236,0,0,38344.45127,46782.25498,52567.61474,29320.61548,32426.9045,32152.66324,138687.357,75032.40417,68680.48002,27322.56112,0,42001.14572,28078.84401,49873.24954
DG.37:3__Pp,DG 37:3,C40 H72 O5,Positive Phase,632.536,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60008.09259,0,0,0,0,0,0,0
DG.38:2__Pp,DG 38:2,C41 H76 O5,Positive Phase,648.5693,10.53,26330.57663,32642.81969,0,50631.75928,65969.89878,0,0,0,0,0,0,19009.03963,0,32876.10163,0,0,0,0,0,144940.5966,32068.27821,42523.44518,0,0,30764.69082,0,35226.15036
